run,type,test_path,test_name,version,iterations,ms_op
0-0-0,Baseline,/lib/promrelabel/relabel_timing_test.go/BenchmarkMatchRegexOrValuesMatchOptimized,BenchmarkMatchRegexOrValuesMatchOptimized-2,2,148545248,8.336e-06
0-0-0,Baseline,/lib/promrelabel/relabel_timing_test.go/BenchmarkMatchRegexOrValuesMatchOptimized,BenchmarkMatchRegexOrValuesMatchOptimized-2,2,141631582,8.634e-06
0-0-0,Baseline,/lib/promrelabel/relabel_timing_test.go/BenchmarkMatchRegexOrValuesMatchOptimized,BenchmarkMatchRegexOrValuesMatchOptimized-2,2,139445636,8.319000000000001e-06
0-0-0,Baseline,/lib/promrelabel/relabel_timing_test.go/BenchmarkMatchRegexOrValuesMatchOptimized,BenchmarkMatchRegexOrValuesMatchOptimized-2,2,144057668,8.164e-06
0-0-0,Baseline,/lib/promrelabel/relabel_timing_test.go/BenchmarkMatchRegexOrValuesMatchOptimized,BenchmarkMatchRegexOrValuesMatchOptimized-2,2,149259139,8.344e-06
0-0-0,Baseline,/lib/promrelabel/relabel_timing_test.go/BenchmarkMatchRegexOrValuesMatchOptimized,BenchmarkMatchRegexOrValuesMatchOptimized-2,1,146454436,8.163e-06
0-0-0,Baseline,/lib/promrelabel/relabel_timing_test.go/BenchmarkMatchRegexOrValuesMatchOptimized,BenchmarkMatchRegexOrValuesMatchOptimized-2,1,148559224,8.400000000000001e-06
0-0-0,Baseline,/lib/promrelabel/relabel_timing_test.go/BenchmarkMatchRegexOrValuesMatchOptimized,BenchmarkMatchRegexOrValuesMatchOptimized-2,1,149673979,8.212e-06
0-0-0,Baseline,/lib/promrelabel/relabel_timing_test.go/BenchmarkMatchRegexOrValuesMatchOptimized,BenchmarkMatchRegexOrValuesMatchOptimized-2,1,149717359,8.214e-06
0-0-0,Baseline,/lib/promrelabel/relabel_timing_test.go/BenchmarkMatchRegexOrValuesMatchOptimized,BenchmarkMatchRegexOrValuesMatchOptimized-2,1,148288614,8.1e-06
0-0-0,Baseline,/lib/logstorage/bitmap_timing_test.go/BenchmarkBitmapIsSetBit,BenchmarkBitmapIsSetBit/no-zero-bits-2,2,9186,0.131113
0-0-0,Baseline,/lib/logstorage/bitmap_timing_test.go/BenchmarkBitmapIsSetBit,BenchmarkBitmapIsSetBit/no-zero-bits-2,2,9030,0.130816
0-0-0,Baseline,/lib/logstorage/bitmap_timing_test.go/BenchmarkBitmapIsSetBit,BenchmarkBitmapIsSetBit/no-zero-bits-2,2,9262,0.131229
0-0-0,Baseline,/lib/logstorage/bitmap_timing_test.go/BenchmarkBitmapIsSetBit,BenchmarkBitmapIsSetBit/no-zero-bits-2,2,9213,0.131412
0-0-0,Baseline,/lib/logstorage/bitmap_timing_test.go/BenchmarkBitmapIsSetBit,BenchmarkBitmapIsSetBit/no-zero-bits-2,2,9205,0.13035
0-0-0,Baseline,/lib/logstorage/bitmap_timing_test.go/BenchmarkBitmapIsSetBit,BenchmarkBitmapIsSetBit/half-zero-bits-2,2,9039,0.131448
0-0-0,Baseline,/lib/logstorage/bitmap_timing_test.go/BenchmarkBitmapIsSetBit,BenchmarkBitmapIsSetBit/half-zero-bits-2,2,8988,0.132134
0-0-0,Baseline,/lib/logstorage/bitmap_timing_test.go/BenchmarkBitmapIsSetBit,BenchmarkBitmapIsSetBit/half-zero-bits-2,2,8817,0.131706
0-0-0,Baseline,/lib/logstorage/bitmap_timing_test.go/BenchmarkBitmapIsSetBit,BenchmarkBitmapIsSetBit/half-zero-bits-2,2,9007,0.130758
0-0-0,Baseline,/lib/logstorage/bitmap_timing_test.go/BenchmarkBitmapIsSetBit,BenchmarkBitmapIsSetBit/half-zero-bits-2,2,9043,0.13019
0-0-0,Baseline,/lib/logstorage/bitmap_timing_test.go/BenchmarkBitmapIsSetBit,BenchmarkBitmapIsSetBit/one-set-bit-2,2,9014,0.130664
0-0-0,Baseline,/lib/logstorage/bitmap_timing_test.go/BenchmarkBitmapIsSetBit,BenchmarkBitmapIsSetBit/one-set-bit-2,2,9010,0.130254
0-0-0,Baseline,/lib/logstorage/bitmap_timing_test.go/BenchmarkBitmapIsSetBit,BenchmarkBitmapIsSetBit/one-set-bit-2,2,8992,0.13006
0-0-0,Baseline,/lib/logstorage/bitmap_timing_test.go/BenchmarkBitmapIsSetBit,BenchmarkBitmapIsSetBit/one-set-bit-2,2,8869,0.131065
0-0-0,Baseline,/lib/logstorage/bitmap_timing_test.go/BenchmarkBitmapIsSetBit,BenchmarkBitmapIsSetBit/one-set-bit-2,2,8890,0.132817
