Feature,Coefficient,Std Error,T-Statistic,P-Value,Significant,Conf Int Low,Conf Int High,VIF
BenchmarkFilterHasHit/maxItems=1000000-2_BenchmarkUnionNoOverlap/items_100000-2,0.0006979040167722815,0.00032236976558952963,2.1649177164489926,0.033040011458694125,True,5.746021078292156e-05,0.0013383478227616415,1000.0
BenchmarkFilterAdd/maxItems=1000000-2_BenchmarkUnionNoOverlap/items_100000-2,0.0006902409099353529,0.0003107802005835096,2.2209938362848782,0.028860917829780727,True,7.282179768128424e-05,0.0013076600221894217,1000.0
BenchmarkQueueThroughputConcurrent/block-size-1000000-2_BenchmarkUnionNoOverlap/items_100000-2,0.0006753676142107355,0.00035078788326510995,1.9252877491789606,0.05735107355608671,False,-2.1533742659423662e-05,0.0013722689710808948,1000.0
BenchmarkPromInstantUnmarshal/Instant_std+fastjson-2_BenchmarkUnionNoOverlap/items_100000-2,0.0006749971212255432,0.00035063188081819644,1.9250877006689844,0.05737644897333605,False,-2.159430955504544e-05,0.0013715885520061318,1000.0
BenchmarkUnionNoOverlap/items_10000-2_BenchmarkUnionNoOverlap/items_100000-2,0.0006736870629350173,0.00034661541022807714,1.9436154396358865,0.055066194857035795,False,-1.4924947980695822e-05,0.0013622990738507304,1000.0
BenchmarkMarshalUnmarshalMetricIDs/numMetricIDs-1000000-2_BenchmarkUnionNoOverlap/items_100000-2,0.0006693756139965641,0.0003438408637075759,1.9467599248640897,0.05468203559302076,False,-1.3724275984870922e-05,0.0013524755039779992,1000.0
BenchmarkMarshalUnmarshalMetricIDs/numMetricIDs-100000-2_BenchmarkUnionNoOverlap/items_100000-2,0.0006651240796444163,0.0003354029850704281,1.9830595112466072,0.050409490489202076,False,-1.2124916710491446e-06,0.0013314606509598817,1000.0
BenchmarkFilterAdd/maxItems=100000-2_BenchmarkUnionNoOverlap/items_100000-2,0.0006650777777571085,0.00030417089315765405,2.1865266950851665,0.031370985879614025,True,6.078920829767143e-05,0.0012693663472165455,1000.0
BenchmarkUnionNoOverlap/items_100000-2,0.0006649616252171488,0.00034293454674078473,1.9390336480733041,0.05563004197996178,False,-1.6337707920554374e-05,0.001346260958354852,1000.0
BenchmarkMapAddReuse/items_1000000-2_BenchmarkUnionNoOverlap/items_100000-2,0.0006614327140280914,0.0003361773576576196,1.9675111930105913,0.05220344023139904,False,-6.4422835913662685e-06,0.001329307711647549,1000.0
