time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1731763084,64019.69,6.402000E+05,64019.69,5739.97,5.740000E+04,5739.97
1731763094,415159.96,4.791800E+06,239589.40,37060.00,4.280000E+05,21399.95
1731763104,386220.03,8.654000E+06,288466.19,34330.00,7.713000E+05,25709.96
1731763114,382680.01,1.248080E+07,312019.62,34230.00,1.113600E+06,27839.97
1731763124,390449.86,1.638530E+07,327705.66,34739.99,1.461000E+06,29219.97
1731763134,385900.13,2.024430E+07,337404.72,34450.01,1.805500E+06,30091.64
1731763144,338829.95,2.363260E+07,337608.33,30190.00,2.107400E+06,30105.69
1731763154,320100.03,2.683360E+07,335419.79,28380.00,2.391200E+06,29889.98
1731763164,385800.00,3.069160E+07,341017.59,34440.00,2.735600E+06,30395.54
1731763174,385040.04,3.454200E+07,345419.83,34400.00,3.079600E+06,30795.98
1731763184,379139.95,3.833340E+07,348485.30,33760.00,3.417200E+06,31065.44
1731763194,331970.00,4.165310E+07,347109.02,29610.00,3.713300E+06,30944.15
1731763204,289109.74,4.454420E+07,342647.54,25699.98,3.970300E+06,30540.76
1731763214,376690.32,4.831110E+07,345079.16,33520.03,4.305500E+06,30753.56
1731763224,376820.00,5.207930E+07,347195.22,33690.00,4.642400E+06,30949.32
1731763234,384860.02,5.592790E+07,349549.27,34170.00,4.984100E+06,31150.62
1731763244,379270.00,5.972060E+07,351297.54,33770.00,5.321800E+06,31304.70
1731763254,318079.98,6.290140E+07,349452.12,28480.00,5.606600E+06,31147.77
1731763264,362370.01,6.652510E+07,350132.01,32250.00,5.929100E+06,31205.78
1731763274,421159.95,7.073670E+07,353683.41,37560.00,6.304700E+06,31523.49
1731763284,377940.02,7.451610E+07,354838.49,33600.00,6.640700E+06,31622.37
1731763294,372759.98,7.824370E+07,355653.10,33270.00,6.973400E+06,31697.27
1731763304,374339.93,8.198710E+07,356465.57,33369.99,7.307100E+06,31769.99
1731763314,272070.04,8.470780E+07,352949.09,24230.00,7.549400E+06,31455.83
1731763324,383350.04,8.854130E+07,354165.13,34130.00,7.890700E+06,31562.79
1731763334,388760.04,9.242890E+07,355495.70,34610.00,8.236800E+06,31679.99
1731763344,375059.79,9.617950E+07,356220.30,33469.98,8.571500E+06,31746.29
1731763354,384160.13,1.000211E+08,357218.15,34180.01,8.913300E+06,31833.21
1731763364,283109.97,1.028522E+08,354662.69,25210.00,9.165400E+06,31604.82
1731763374,390309.90,1.067553E+08,355850.93,34809.99,9.513500E+06,31711.66
1731763384,382159.96,1.105769E+08,356699.61,34160.00,9.855100E+06,31790.64
1731763394,379760.21,1.143745E+08,357420.26,33840.02,1.019350E+07,31854.68
1731763404,203279.94,1.164073E+08,352749.34,18079.99,1.037430E+07,31437.27
1731763414,273020.12,1.191375E+08,350404.36,24340.01,1.061770E+07,31228.52
1731763424,381039.74,1.229479E+08,351279.66,33949.98,1.095720E+07,31306.28
1731763434,394080.23,1.268887E+08,352468.56,35100.02,1.130820E+07,31411.66
1731763444,378530.01,1.306740E+08,353172.93,33680.00,1.164500E+07,31472.97
1731763454,327689.92,1.339509E+08,352502.32,29209.99,1.193710E+07,31413.42
1731763464,422100.17,1.381719E+08,354286.88,37550.02,1.231260E+07,31570.77
1731763474,380929.85,1.419812E+08,354952.95,33969.99,1.265230E+07,31630.75
1731763484,380030.08,1.457815E+08,355564.59,33880.01,1.299110E+07,31685.61
