time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1731763084,23607.44,2.361000E+05,23607.44,2159.77,2.160000E+04,2159.77
1731763094,393749.99,4.173600E+06,208668.70,35180.00,3.734000E+05,18668.99
1731763104,365879.97,7.832400E+06,261070.57,32490.00,6.983000E+05,23275.83
1731763114,341520.12,1.124760E+07,281182.40,30450.01,1.002800E+06,25069.32
1731763124,371870.01,1.496630E+07,299319.53,33150.00,1.334300E+06,26685.42
1731763134,359910.02,1.856540E+07,309417.76,32110.00,1.655400E+06,27589.50
1731763144,334640.01,2.191180E+07,313020.89,29760.00,1.953000E+06,27899.57
1731763154,314700.03,2.505880E+07,313230.78,28020.00,2.233200E+06,27914.62
1731763164,390799.94,2.896680E+07,321849.47,34959.99,2.582800E+06,28697.43
1731763174,401880.05,3.298560E+07,329852.44,35720.00,2.940000E+06,29399.68
1731763184,419669.95,3.718230E+07,338017.59,37370.00,3.313700E+06,30124.25
1731763194,220839.98,3.939070E+07,328252.88,19800.00,3.511700E+06,29263.90
1731763204,233059.88,4.172130E+07,320930.40,20719.99,3.718900E+06,28606.68
1731763214,340480.17,4.512610E+07,322326.80,30380.02,4.022700E+06,28733.35
1731763224,324829.96,4.837440E+07,322493.67,28930.00,4.312000E+06,28746.46
1731763234,366950.14,5.204390E+07,325272.18,32570.01,4.637700E+06,28985.43
1731763244,314949.99,5.519340E+07,324665.00,28060.00,4.918300E+06,28930.99
1731763254,357039.95,5.876380E+07,326463.60,31900.00,5.237300E+06,29095.94
1731763264,380900.01,6.257280E+07,329328.65,33980.00,5.577100E+06,29352.99
1731763274,333819.88,6.591100E+07,329553.21,29729.99,5.874400E+06,29371.84
1731763284,369960.12,6.961060E+07,331477.34,33020.01,6.204600E+06,29545.56
1731763294,314839.92,7.275900E+07,330721.10,28039.99,6.485000E+06,29477.13
1731763304,363449.97,7.639350E+07,332144.09,32380.00,6.808800E+06,29603.34
1731763314,391550.18,8.030900E+07,334619.33,34780.02,7.156600E+06,29819.03
1731763324,359899.96,8.390800E+07,335630.55,32180.00,7.478400E+06,29913.47
1731763334,362690.04,8.753490E+07,336671.29,32290.00,7.801300E+06,30004.88
1731763344,301390.02,9.054880E+07,335364.59,26890.00,8.070200E+06,29889.51
1731763354,393129.97,9.448010E+07,337427.63,34980.00,8.420000E+06,30071.31
1731763364,319049.93,9.767060E+07,336793.92,28439.99,8.704400E+06,30015.06
1731763374,371170.05,1.013823E+08,337939.78,33090.00,9.035300E+06,30117.56
1731763384,328969.87,1.046720E+08,337650.43,29329.99,9.328600E+06,30092.15
1731763394,389510.10,1.085671E+08,339271.04,34710.01,9.675700E+06,30236.46
1731763404,352650.05,1.120936E+08,339676.46,31390.00,9.989600E+06,30271.42
1731763414,358399.99,1.156776E+08,340227.15,31980.00,1.030940E+07,30321.67
1731763424,204180.01,1.177194E+08,336340.10,18080.00,1.049020E+07,29971.91
1731763434,356269.87,1.212821E+08,336893.71,31739.99,1.080760E+07,30021.02
1731763444,318110.02,1.244632E+08,336386.04,28440.00,1.109200E+07,29978.29
1731763454,362760.09,1.280908E+08,337080.09,32300.01,1.141500E+07,30039.39
1731763464,322280.04,1.313136E+08,336700.61,28660.00,1.170160E+07,30004.02
1731763474,323939.85,1.345530E+08,336381.59,28909.99,1.199070E+07,29976.67
1731763484,199270.10,1.365457E+08,333037.42,17730.01,1.216800E+07,29677.97
1731763494,204269.95,1.385884E+08,329971.53,18200.00,1.235000E+07,29404.69
1731763504,381050.07,1.423989E+08,331159.40,34020.01,1.269020E+07,29512.02
1731763514,394139.84,1.463403E+08,332590.77,35029.99,1.304050E+07,29637.43
1731763524,262050.13,1.489608E+08,331023.21,23490.01,1.327540E+07,29500.82
1731763534,365489.95,1.526157E+08,331772.48,32490.00,1.360030E+07,29565.80
1731763544,417669.89,1.567924E+08,333600.08,37289.99,1.397320E+07,29730.14
1731763554,320589.97,1.599983E+08,333329.04,28450.00,1.425770E+07,29703.47
1731763564,321560.09,1.632139E+08,333088.86,28630.01,1.454400E+07,29681.57
1731763574,366749.59,1.668814E+08,333762.07,32779.96,1.487180E+07,29743.54
1731763584,382880.48,1.707102E+08,334725.17,34110.04,1.521290E+07,29829.15
1731763594,353940.03,1.742496E+08,335094.69,31600.00,1.552890E+07,29863.21
1731763604,367809.78,1.779277E+08,335711.95,32619.98,1.585510E+07,29915.22
1731763614,334030.16,1.812680E+08,335680.81,29880.01,1.615390E+07,29914.57
1731763624,403310.01,1.853011E+08,336910.43,35920.00,1.651310E+07,30023.76
1731763634,377689.85,1.890780E+08,337638.63,33549.99,1.684860E+07,30086.73
1731763644,348690.14,1.925649E+08,337832.52,31130.01,1.715990E+07,30105.03
1731763654,341339.98,1.959783E+08,337892.99,30500.00,1.746490E+07,30111.84
1731763664,315189.99,1.991302E+08,337508.20,28090.00,1.774580E+07,30077.57
1731763674,372029.96,2.028505E+08,338083.56,33170.00,1.807750E+07,30129.11
1731763684,376520.09,2.066157E+08,338713.66,33400.01,1.841150E+07,30182.73
1731763694,377820.02,2.103939E+08,339344.41,33700.00,1.874850E+07,30239.46
1731763704,352039.89,2.139143E+08,339545.92,31459.99,1.906310E+07,30258.84
1731763714,304310.00,2.169574E+08,338995.36,26990.00,1.933300E+07,30207.76
1731763724,365860.06,2.206160E+08,339408.67,32710.01,1.966010E+07,30246.26
1731763734,347359.92,2.240896E+08,339529.14,30949.99,1.996960E+07,30256.92
1731763744,385110.01,2.279407E+08,340209.45,34220.00,2.031180E+07,30316.07
1731763754,382730.08,2.317680E+08,340834.75,34210.01,2.065390E+07,30373.33
1731763764,99820.00,2.327662E+08,337341.79,8870.00,2.074260E+07,30061.69
1731763774,371059.92,2.364768E+08,337823.48,33099.99,2.107360E+07,30105.10
1731763784,395910.15,2.404359E+08,338641.60,35270.01,2.142630E+07,30177.84
1731763794,252859.91,2.429645E+08,337450.19,22419.99,2.165050E+07,30070.09
1731763804,319870.07,2.461632E+08,337209.36,28650.01,2.193700E+07,30050.64
1731763814,367539.88,2.498386E+08,337619.24,32589.99,2.226290E+07,30084.96
1731763824,358139.95,2.534200E+08,337892.84,32030.00,2.258320E+07,30110.89
1731763834,333120.04,2.567512E+08,337830.04,29720.00,2.288040E+07,30105.75
1731763844,343909.94,2.601903E+08,337909.00,30530.00,2.318570E+07,30111.26
1731763854,295670.17,2.631470E+08,337367.48,26410.02,2.344980E+07,30063.80
1731763864,327159.95,2.664186E+08,337238.27,29130.00,2.374110E+07,30051.98
1731763874,252280.00,2.689414E+08,336176.30,22550.00,2.396660E+07,29958.21
1731763884,212860.05,2.710700E+08,334653.88,18890.00,2.415550E+07,29821.57
1731763894,334179.89,2.744118E+08,334648.10,29749.99,2.445300E+07,29820.69
1731763904,339960.10,2.778114E+08,334712.10,30330.01,2.475630E+07,29826.83
1731763914,394119.96,2.817526E+08,335419.33,35040.00,2.510670E+07,29888.89
1731763924,351319.96,2.852658E+08,335606.40,31470.00,2.542140E+07,29907.49
1731763934,280470.00,2.880705E+08,334965.28,24890.00,2.567030E+07,29849.15
1731763944,373029.82,2.918008E+08,335402.80,33299.98,2.600330E+07,29888.81
1731763954,354600.16,2.953468E+08,335620.95,31570.01,2.631900E+07,29907.92
1731763964,419240.02,2.995392E+08,336560.49,37300.00,2.669200E+07,29990.97
1731763974,364580.02,3.031850E+08,336871.82,32550.00,2.701750E+07,30019.41
