time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1731574692,6839.90,6.840000E+04,6839.90,679.99,6.800000E+03,679.99
1731574702,312320.03,3.191600E+06,159578.79,27920.00,2.860000E+05,14299.89
1731574712,303599.92,6.227600E+06,207585.59,26899.99,5.550000E+05,18499.90
1731574722,300280.07,9.230400E+06,230759.12,26820.01,8.232000E+05,20579.92
1731574732,299319.95,1.222360E+07,244471.25,26700.00,1.090200E+06,21803.93
1731574742,286739.92,1.509100E+07,251516.01,25559.99,1.345800E+06,22429.94
1731574752,229880.04,1.738980E+07,248425.16,20440.00,1.550200E+06,22145.67
1731574762,292849.97,2.031830E+07,253978.25,26180.00,1.812000E+06,22649.96
1731574772,284960.10,2.316790E+07,257420.67,25370.01,2.065700E+06,22952.18
1731574782,212349.99,2.529140E+07,252913.61,18800.00,2.253700E+06,22536.97
1731574792,236000.02,2.765140E+07,251376.02,21090.00,2.464600E+06,22405.42
1731574802,169879.94,2.935020E+07,244584.68,15149.99,2.616100E+06,21800.81
1731574812,148420.05,3.083440E+07,237187.41,13310.00,2.749200E+06,21147.67
1731574822,244690.00,3.328130E+07,237723.31,21700.00,2.966200E+06,21187.12
1731574832,305699.81,3.633830E+07,242255.08,27309.98,3.239300E+06,21595.31
1731574842,310850.18,3.944680E+07,246542.26,27630.02,3.515600E+06,21972.48
1731574852,255149.89,4.199830E+07,247048.60,22779.99,3.743400E+06,22019.98
1731574862,302770.15,4.502600E+07,250144.23,26960.01,4.013000E+06,22294.43
1731574872,295369.99,4.797970E+07,252524.53,26330.00,4.276300E+06,22506.82
1731574882,294589.97,5.092560E+07,254627.80,26250.00,4.538800E+06,22693.98
1731574892,248490.01,5.341050E+07,254335.53,22060.00,4.759400E+06,22663.79
1731574902,289469.88,5.630520E+07,255932.54,25859.99,5.018000E+06,22809.07
1731574912,284910.06,5.915430E+07,257192.44,25330.01,5.271300E+06,22918.68
1731574922,302570.05,6.218000E+07,259083.17,27120.00,5.542500E+06,23093.74
1731574932,296330.01,6.514330E+07,260573.04,26300.00,5.805500E+06,23221.99
1731574942,267720.02,6.782050E+07,260847.92,23910.00,6.044600E+06,23248.45
1731574952,283149.85,7.065200E+07,261673.92,25239.99,6.297000E+06,23322.21
1731574962,297250.14,7.362450E+07,262944.50,26410.01,6.561100E+06,23432.49
1731574972,291470.01,7.653920E+07,263928.14,26010.00,6.821200E+06,23521.37
1731574982,288409.96,7.942330E+07,264744.20,25630.00,7.077500E+06,23591.65
1731574992,237119.84,8.179450E+07,263853.09,21219.99,7.289700E+06,23515.15
1731575002,295230.23,8.474680E+07,264833.62,26270.02,7.552400E+06,23601.24
1731575012,289000.02,8.763680E+07,265565.94,25840.00,7.810800E+06,23669.08
1731575022,297359.96,9.061040E+07,266501.06,26470.00,8.075500E+06,23751.46
1731575032,251439.89,9.312480E+07,266070.74,22449.99,8.300000E+06,23714.28
1731575042,297760.15,9.610240E+07,266951.00,26480.01,8.564800E+06,23791.10
1731575052,293979.99,9.904220E+07,267681.51,26180.00,8.826600E+06,23855.67
1731575062,294310.01,1.019853E+08,268382.26,26170.00,9.088300E+06,23916.57
1731575072,255439.92,1.045397E+08,268050.41,22799.99,9.316300E+06,23887.94
1731575082,189699.98,1.064367E+08,266091.65,16910.00,9.485400E+06,23713.49
1731575092,302849.91,1.094652E+08,266988.19,26979.99,9.755200E+06,23793.16
1731575102,310280.11,1.125680E+08,268018.95,27600.01,1.003120E+07,23883.80
1731575112,291950.02,1.154875E+08,268575.48,26080.00,1.029200E+07,23934.88
1731575122,92359.99,1.164111E+08,264570.59,8250.00,1.037450E+07,23578.40
1731575132,279560.08,1.192067E+08,264903.69,24900.01,1.062350E+07,23607.77
1731575142,298329.99,1.221900E+08,265630.35,26550.00,1.088900E+07,23671.73
1731575152,295679.98,1.251468E+08,266269.70,26340.00,1.115240E+07,23728.50
1731575162,251609.96,1.276629E+08,265964.29,22370.00,1.137610E+07,23700.20
1731575172,299370.07,1.306566E+08,266646.04,26660.01,1.164270E+07,23760.60
