time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1737967144,181209.57,1.812200E+06,181209.57,16281.56,1.628250E+05,16281.56
1737967154,425079.98,6.063000E+06,303141.27,37747.50,5.403000E+05,27014.22
1737967164,423139.96,1.029440E+07,343140.07,37830.00,9.186000E+05,30619.41
1737967174,396339.87,1.425780E+07,356439.83,35332.49,1.271925E+06,31797.66
1737967184,428105.22,1.853885E+07,370772.73,38145.02,1.653375E+06,33067.12
1737967194,363794.95,2.217680E+07,369609.78,32422.50,1.977600E+06,32959.68
1737967204,427879.80,2.645560E+07,377934.00,38114.98,2.358750E+06,33696.15
1737967214,403880.20,3.049440E+07,381177.25,35985.02,2.718600E+06,33982.26
1737967224,402534.89,3.451975E+07,383550.31,35804.99,3.076650E+06,34184.78
1737967234,422262.54,3.874238E+07,387421.51,37717.50,3.453825E+06,34538.05
1737967244,391845.05,4.266082E+07,387823.65,34777.50,3.801600E+06,34559.82
1737967254,418457.55,4.684540E+07,390376.46,37380.00,4.175400E+06,34794.83
1737967264,430849.48,5.115390E+07,393489.76,38294.95,4.558350E+06,35064.07
1737967274,428465.45,5.543855E+07,395988.01,38190.04,4.940250E+06,35287.35
1737967284,348384.84,5.892240E+07,392814.48,31094.99,5.251200E+06,35007.86
1737967294,347485.21,6.239725E+07,389981.41,30967.52,5.560875E+06,34755.34
1737967304,330237.53,6.569962E+07,386467.08,29370.00,5.854575E+06,34438.56
1737967314,308539.87,6.878502E+07,382137.80,27584.99,6.130425E+06,34057.81
1737967324,281562.59,7.160065E+07,376844.38,25012.51,6.380550E+06,33581.74
1737967334,349535.02,7.509600E+07,375478.92,31245.00,6.693000E+06,33464.90
1737967344,392940.01,7.902540E+07,376310.40,34890.00,7.041900E+06,33532.77
1737967354,367584.85,8.270125E+07,375913.78,32924.99,7.371150E+06,33505.14
1737967364,400089.85,8.670215E+07,376964.91,35482.49,7.725975E+06,33591.11
1737967374,375327.76,9.045542E+07,376896.70,33600.02,8.061975E+06,33591.48
1737967384,340177.41,9.385720E+07,375427.93,30314.99,8.365125E+06,33460.42
1737967394,395222.60,9.780942E+07,376189.26,35212.51,8.717250E+06,33527.81
1737967404,400532.31,1.018148E+08,377090.86,35542.48,9.072675E+06,33602.43
1737967414,375605.03,1.055708E+08,377037.79,33630.00,9.408975E+06,33603.41
1737967424,398702.46,1.095578E+08,377784.85,35400.00,9.762975E+06,33665.36
1737967434,358452.30,1.131424E+08,377140.43,31994.98,1.008292E+07,33609.68
1737967444,325872.78,1.164011E+08,375486.64,29100.03,1.037392E+07,33464.21
1737967454,313107.43,1.195322E+08,373537.29,27862.49,1.065255E+07,33289.16
1737967464,380782.64,1.233400E+08,373756.85,33967.51,1.099222E+07,33309.71
1737967474,393967.41,1.272796E+08,374351.27,35024.99,1.134248E+07,33360.16
1737967484,338527.39,1.306649E+08,373327.74,30119.99,1.164368E+07,33267.59
1737967494,409552.75,1.347604E+08,374333.98,36547.52,1.200915E+07,33358.70
1737967504,366862.36,1.384291E+08,374132.05,32677.49,1.233592E+07,33340.29
1737967514,379655.10,1.422256E+08,374277.39,33825.01,1.267418E+07,33353.04
1737967524,401539.92,1.462410E+08,374976.43,35759.99,1.303178E+07,33414.76
1737967534,344185.07,1.496829E+08,374206.65,30795.01,1.333972E+07,33349.26
1737967544,393135.07,1.536142E+08,374668.32,34905.01,1.368878E+07,33387.21
1737967554,386872.48,1.574830E+08,374958.89,34440.00,1.403318E+07,33412.28
1737967564,238784.98,1.598708E+08,371792.06,21435.00,1.424752E+07,33133.73
1737967574,306012.43,1.629309E+08,370297.07,27254.99,1.452008E+07,33000.13
1737967584,427120.09,1.672021E+08,371559.80,38025.01,1.490032E+07,33111.79
1737967594,398301.70,1.711852E+08,372141.16,35534.48,1.525568E+07,33164.46
1737967604,386735.54,1.750525E+08,372451.67,34462.99,1.560030E+07,33192.09
1737967614,327310.03,1.783256E+08,371511.22,29010.00,1.589040E+07,33104.96
1737967624,419695.03,1.825226E+08,372494.56,37425.00,1.626465E+07,33193.12
1737967634,383174.96,1.863543E+08,372708.17,34237.50,1.660702E+07,33214.01
1737967644,397202.54,1.903263E+08,373188.45,35445.00,1.696148E+07,33257.76
1737967654,328232.57,1.936086E+08,372323.92,29107.51,1.725255E+07,33177.94
1737967664,381537.41,1.974240E+08,372497.75,34087.49,1.759342E+07,33195.11
1737967674,397917.48,2.014032E+08,372968.49,35497.50,1.794840E+07,33237.74
1737967684,400067.56,2.054039E+08,373461.20,35512.51,1.830352E+07,33279.10
1737967694,391892.49,2.093228E+08,373790.33,35055.00,1.865408E+07,33310.81
1737967704,363239.95,2.129552E+08,373605.24,32377.50,1.897785E+07,33294.44
1737967714,409175.05,2.170470E+08,374218.51,36360.00,1.934145E+07,33347.29
1737967724,404465.01,2.210916E+08,374731.16,36075.00,1.970220E+07,33393.53
1737967734,396670.01,2.250583E+08,375096.81,35370.00,2.005590E+07,33426.47
1737967744,395260.03,2.290109E+08,375427.35,35205.00,2.040795E+07,33455.62
1737967754,334305.01,2.323540E+08,374764.09,29827.50,2.070622E+07,33397.11
1737967764,301944.93,2.353734E+08,373608.23,26767.49,2.097390E+07,33291.87
1737967774,388987.58,2.392633E+08,373848.53,34702.51,2.132092E+07,33313.92
1737967784,389792.42,2.431612E+08,374093.82,34822.49,2.166915E+07,33337.12
1737967794,397719.95,2.471384E+08,374451.79,35460.00,2.202375E+07,33369.29
1737967804,318067.56,2.503191E+08,373610.24,28207.51,2.230582E+07,33292.25
1737967814,398949.79,2.543086E+08,373982.88,35654.98,2.266238E+07,33326.99
1737967824,399042.61,2.582990E+08,374346.06,35542.51,2.301780E+07,33359.10
1737967834,391252.64,2.622115E+08,374587.58,34807.51,2.336588E+07,33379.79
1737967844,356202.50,2.657736E+08,374328.64,31785.00,2.368372E+07,33357.33
