time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1737967144,196011.84,1.960200E+06,196011.84,17549.27,1.755000E+05,17549.27
1737967154,422292.48,6.183125E+06,309149.81,37717.50,5.526750E+05,27633.17
1737967164,417892.39,1.036205E+07,345396.84,37139.99,9.240750E+05,30802.07
1737967174,411615.10,1.447820E+07,361951.23,36652.51,1.290600E+06,32264.66
1737967184,412079.98,1.859900E+07,371976.90,36720.00,1.657800E+06,33155.72
1737967194,437849.94,2.297750E+07,382955.66,39089.99,2.048700E+06,34144.76
1737967204,330620.01,2.628370E+07,375479.18,29445.00,2.343150E+06,33473.37
1737967214,449952.48,3.078322E+07,384788.30,40005.00,2.743200E+06,34289.82
1737967224,411539.92,3.489862E+07,387760.69,36697.49,3.110175E+06,34557.34
1737967234,402371.70,3.892235E+07,389221.79,35947.43,3.469650E+06,34696.35
1737967244,424908.54,4.317142E+07,392466.02,37837.59,3.848025E+06,34981.91
1737967254,389649.78,4.706792E+07,392231.33,34784.98,4.195875E+06,34965.50
1737967264,420887.72,5.127680E+07,394435.66,37492.52,4.570800E+06,35159.89
1737967274,434187.38,5.561868E+07,397275.06,38647.49,4.957275E+06,35409.00
1737967284,356074.89,5.917942E+07,394528.39,31747.49,5.274750E+06,35164.90
1737967294,333337.59,6.251280E+07,390703.98,29715.01,5.571900E+06,34824.28
1737967304,319680.00,6.570960E+07,386526.10,28410.00,5.856000E+06,34446.97
1737967314,306042.49,6.877002E+07,382054.80,27217.50,6.128175E+06,34045.34
1737967324,306987.57,7.183990E+07,378103.91,27352.51,6.401700E+06,33693.08
1737967334,368170.01,7.552160E+07,377607.21,32940.00,6.731100E+06,33655.43
1737967344,344895.02,7.897055E+07,376049.49,30705.00,7.038150E+06,33514.93
1737967354,386234.94,8.283290E+07,376512.47,34334.99,7.381500E+06,33552.21
1737967364,374135.03,8.657425E+07,376409.10,33450.00,7.716000E+06,33547.77
1737967374,401230.01,9.058655E+07,377443.30,35625.00,8.072250E+06,33634.32
1737967384,371694.79,9.430350E+07,377213.36,33127.48,8.403525E+06,33614.04
1737967394,363060.22,9.793410E+07,376669.01,32332.52,8.726850E+06,33564.75
1737967404,376189.74,1.016960E+08,376651.26,33674.98,9.063600E+06,33568.84
1737967414,402957.80,1.057256E+08,377590.78,35902.53,9.422625E+06,33652.18
1737967424,384672.48,1.095723E+08,377834.97,34132.50,9.763950E+06,33668.74
1737967434,390429.78,1.134766E+08,378254.80,34912.48,1.011308E+07,33710.20
1737967444,293174.97,1.164084E+08,375510.29,26130.00,1.037438E+07,33465.68
1737967454,293999.86,1.193484E+08,372963.09,26069.99,1.063508E+07,33234.56
1737967464,394622.66,1.232946E+08,373619.44,35197.51,1.098705E+07,33294.05
1737967474,397142.74,1.272660E+08,374311.30,35355.02,1.134060E+07,33354.66
1737967484,396137.50,1.312274E+08,374934.91,35302.50,1.169362E+07,33410.32
1737967494,341639.94,1.346438E+08,374010.05,30554.99,1.199918E+07,33331.00
1737967504,378470.01,1.384285E+08,374130.59,33667.50,1.233585E+07,33340.10
