time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1739005840,105639.33,1.056400E+06,105639.33,9419.94,9.420000E+04,9419.94
1739005850,263040.03,3.686800E+06,184339.42,23587.50,3.300750E+05,16503.70
1739005860,246322.51,6.150025E+06,205000.41,21810.00,5.481750E+05,18272.46
1739005870,241244.99,8.562475E+06,214061.54,21495.00,7.631250E+05,19078.10
1739005880,250862.46,1.107110E+07,221421.72,22342.50,9.865500E+05,19730.97
1739005890,246970.04,1.354080E+07,225679.77,22170.00,1.208250E+06,20137.48
1739005900,247627.42,1.601708E+07,228815.14,21967.49,1.427925E+06,20398.91
1739005910,189052.56,1.790760E+07,223844.83,16935.00,1.597275E+06,19965.92
1739005920,194279.98,1.985040E+07,220559.84,17302.50,1.770300E+06,19669.99
1739005930,183497.33,2.168538E+07,216853.59,16327.49,1.933575E+06,19335.74
1739005940,176320.18,2.344858E+07,213168.74,15645.02,2.090025E+06,19000.22
1739005950,166860.00,2.511718E+07,209309.68,14880.00,2.238825E+06,18656.87
1739005960,205719.99,2.717438E+07,209033.55,18375.00,2.422575E+06,18635.18
1739005970,248522.53,2.965960E+07,211854.19,22042.50,2.643000E+06,18878.56
1739005980,244559.98,3.210520E+07,214034.58,21900.00,2.862000E+06,19079.99
1739005990,232744.91,3.443265E+07,215203.97,20654.99,3.068550E+06,19178.43
1739006000,238214.96,3.681480E+07,216557.56,21352.50,3.282075E+06,19306.32
1739006010,229540.13,3.911020E+07,217278.81,20302.51,3.485100E+06,19361.66
1739006020,227702.44,4.138722E+07,217827.43,20347.49,3.688575E+06,19413.55
1739006030,233846.85,4.372570E+07,218628.40,20812.44,3.896700E+06,19483.49
1739006040,234425.64,4.606995E+07,219380.65,20895.06,4.105650E+06,19550.71
1739006050,243427.58,4.850422E+07,220473.69,21757.51,4.323225E+06,19651.02
1739006060,251217.50,5.101640E+07,221810.37,22402.50,4.547250E+06,19770.65
1739006070,243314.98,5.344955E+07,222706.40,21720.00,4.764450E+06,19851.87
1739006080,240470.04,5.585425E+07,223416.94,21352.50,4.977975E+06,19911.90
1739006090,242677.46,5.828102E+07,224157.73,21645.00,5.194425E+06,19978.55
1739006100,243947.51,6.072050E+07,224890.69,21787.50,5.412300E+06,20045.55
1739006110,225232.52,6.297282E+07,224902.90,20032.50,5.612625E+06,20045.08
1739006120,232542.50,6.529825E+07,225166.33,20632.50,5.818950E+06,20065.34
1739006130,240052.40,6.769878E+07,225662.53,21427.49,6.033225E+06,20110.75
1739006140,245932.57,7.015810E+07,226316.41,21952.51,6.252750E+06,20170.16
1739006150,244157.48,7.259968E+07,226873.94,21817.50,6.470925E+06,20221.64
1739006160,251672.43,7.511640E+07,227625.41,22409.99,6.695025E+06,20287.95
1739006170,239225.11,7.750865E+07,227966.58,21255.01,6.907575E+06,20316.39
1739006180,256789.97,8.007655E+07,228790.10,22800.00,7.135575E+06,20387.35
1739006190,244170.03,8.251825E+07,229217.32,21840.00,7.353975E+06,20427.70
1739006200,248709.90,8.500535E+07,229744.15,22079.99,7.574775E+06,20472.36
1739006210,243735.09,8.744270E+07,230112.33,21772.51,7.792500E+06,20506.58
1739006220,249587.47,8.993858E+07,230611.69,22192.50,8.014425E+06,20549.80
1739006230,230622.53,9.224480E+07,230611.96,20692.50,8.221350E+06,20553.37
1739006240,246937.41,9.471418E+07,231010.15,21907.49,8.440425E+06,20586.40
1739006250,237022.60,9.708440E+07,231153.30,21240.01,8.652825E+06,20601.96
1739006260,239644.96,9.948085E+07,231350.78,21232.50,8.865150E+06,20616.62
1739006270,242610.02,1.019070E+08,231606.67,21630.00,9.081450E+06,20639.66
1739006280,251824.94,1.044252E+08,232055.97,22499.99,9.306450E+06,20681.00
1739006290,217625.06,1.066014E+08,231742.25,19380.00,9.500250E+06,20652.71
1739006300,245215.00,1.090536E+08,232028.91,21885.00,9.719100E+06,20678.93
1739006310,251027.50,1.115639E+08,232424.71,22342.50,9.942525E+06,20713.59
1739006320,255972.50,1.141236E+08,232905.28,22822.50,1.017075E+07,20756.63
1739006330,225749.78,1.163811E+08,232762.17,20099.98,1.037175E+07,20743.50
1739006340,175772.58,1.181388E+08,231644.72,15562.51,1.052738E+07,20641.91
1739006350,242002.61,1.205588E+08,231843.91,21555.01,1.074292E+07,20659.47
1739006360,245155.00,1.230104E+08,232095.07,21967.50,1.096260E+07,20684.15
1739006370,241264.94,1.254230E+08,232264.88,21457.49,1.117718E+07,20698.47
1739006380,245575.00,1.278788E+08,232506.88,21945.00,1.139662E+07,20721.13
1739006390,239907.59,1.302779E+08,232639.04,21345.01,1.161008E+07,20732.27
1739006400,248574.97,1.327636E+08,232918.61,22050.00,1.183058E+07,20755.39
1739006410,233997.52,1.351036E+08,232937.22,20842.50,1.203900E+07,20756.89
1739006420,234094.90,1.374446E+08,232956.84,20857.49,1.224758E+07,20758.60
1739006430,226315.09,1.397077E+08,232846.14,20167.51,1.244925E+07,20748.75
1739006440,233405.01,1.420418E+08,232855.30,20820.00,1.265745E+07,20749.92
1739006450,230405.01,1.443458E+08,232815.78,20647.50,1.286392E+07,20748.26
1739006460,241324.96,1.467590E+08,232950.85,21472.50,1.307865E+07,20759.76
1739006470,232617.53,1.490852E+08,232945.64,20632.50,1.328498E+07,20757.77
1739006480,232699.98,1.514122E+08,232941.86,20760.00,1.349258E+07,20757.81
1739006490,236727.46,1.537795E+08,232999.22,21112.50,1.370370E+07,20763.18
1739006500,241979.90,1.561993E+08,233133.26,21539.99,1.391910E+07,20774.77
1739006510,237262.50,1.585719E+08,233193.98,21277.50,1.413188E+07,20782.17
1739006520,238392.59,1.609558E+08,233269.33,21075.01,1.434262E+07,20786.41
1739006530,230300.05,1.632588E+08,233226.91,20692.50,1.454955E+07,20785.07
1739006540,249414.99,1.657530E+08,233454.91,22177.50,1.477132E+07,20804.68
1739006550,242639.91,1.681794E+08,233582.48,21629.99,1.498762E+07,20816.14
1739006560,228767.59,1.704671E+08,233516.52,20370.01,1.519132E+07,20810.03
1739006570,163917.49,1.721062E+08,232575.99,14490.00,1.533622E+07,20724.63
1739006580,161524.84,1.737215E+08,231628.64,14392.49,1.548015E+07,20640.20
1739006590,153819.12,1.752597E+08,230604.83,13709.92,1.561725E+07,20549.01
1739006600,147683.51,1.767365E+08,229527.94,13267.59,1.574992E+07,20454.45
1739006610,146087.42,1.781974E+08,228458.19,13034.99,1.588028E+07,20359.33
1739006620,169740.09,1.798948E+08,227714.92,15127.51,1.603155E+07,20293.10
1739006630,215944.94,1.820542E+08,227567.79,19139.99,1.622295E+07,20278.69
1739006640,222295.03,1.842772E+08,227502.70,19927.50,1.642222E+07,20274.35
1739006650,208099.98,1.863582E+08,227266.08,18525.00,1.660748E+07,20253.02
1739006660,233260.05,1.886908E+08,227338.30,20752.50,1.681500E+07,20259.03
1739006670,227420.01,1.909650E+08,227339.27,20302.50,1.701802E+07,20259.55
1739006680,227380.00,1.932388E+08,227339.75,20295.00,1.722098E+07,20259.97
1739006690,225452.43,1.954933E+08,227317.80,20069.99,1.742168E+07,20257.76
1739006700,233787.58,1.978312E+08,227392.17,20812.51,1.762980E+07,20264.14
1739006710,227439.97,2.001056E+08,227392.71,20310.00,1.783290E+07,20264.66
1739006720,230214.98,2.024078E+08,227424.42,20347.50,1.803638E+07,20265.59
