time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1739005840,106171.61,1.061725E+06,106171.61,9487.42,9.487500E+04,9487.42
1739005850,259985.01,3.661575E+06,183077.99,23250.00,3.273750E+05,16368.68
1739005860,251079.62,6.172400E+06,205745.31,22387.24,5.512500E+05,18374.88
1739005870,245695.36,8.629325E+06,215732.68,21862.75,7.698750E+05,19246.84
1739005880,256235.08,1.119168E+07,223833.15,22905.01,9.989250E+05,19978.47
1739005890,254200.01,1.373368E+07,228894.28,22500.00,1.223925E+06,20398.72
1739005900,249317.15,1.622685E+07,231811.84,22282.47,1.446750E+06,20667.83
1739005910,196132.73,1.818818E+07,227351.96,17407.52,1.620825E+06,20260.29
1739005920,198857.54,2.017675E+07,224185.91,17842.50,1.799250E+06,19991.65
1739005930,188764.99,2.206440E+07,220643.83,16695.00,1.966200E+06,19661.98
1739005940,174639.79,2.381080E+07,216461.64,15697.48,2.123175E+06,19301.57
1739005950,166677.70,2.547758E+07,212312.98,14820.02,2.271375E+06,18928.11
1739005960,209712.50,2.757470E+07,212112.95,18667.50,2.458050E+06,18908.07
1739005970,244569.96,3.002040E+07,214431.30,21877.50,2.676825E+06,19120.17
1739005980,249820.06,3.251860E+07,216790.55,22230.01,2.899125E+06,19327.49
1739005990,241189.99,3.493050E+07,218315.52,21457.50,3.113700E+06,19460.62
1739006000,241777.50,3.734828E+07,219695.63,21502.50,3.328725E+06,19580.73
1739006010,228237.42,3.963065E+07,220170.18,20422.49,3.532950E+06,19627.49
1739006020,226345.08,4.189410E+07,220495.17,20175.01,3.734700E+06,19656.31
1739006030,247432.53,4.436842E+07,221842.04,21907.50,3.953775E+06,19768.87
1739006040,245117.44,4.681960E+07,222950.39,21967.49,4.173450E+06,19873.56
1739006050,250060.04,4.932020E+07,224182.65,22267.50,4.396125E+06,19982.38
1739006060,249270.01,5.181290E+07,225273.40,22162.50,4.617750E+06,20077.17
1739006070,243970.01,5.425260E+07,226052.43,21802.50,4.835775E+06,20149.06
1739006080,249179.99,5.674440E+07,226977.53,22162.50,5.057400E+06,20229.59
1739006090,234462.49,5.908902E+07,227265.41,20902.50,5.266425E+06,20255.47
1739006100,244000.01,6.152902E+07,227885.21,21795.00,5.484375E+06,20312.49
1739006110,232262.48,6.385165E+07,228041.54,20610.00,5.690475E+06,20323.12
1739006120,240202.51,6.625368E+07,228460.89,21345.00,5.903925E+06,20358.36
1739006130,239752.48,6.865120E+07,228837.27,21502.50,6.118950E+06,20396.49
1739006140,242280.03,7.107400E+07,229270.91,21592.50,6.334875E+06,20435.08
1739006150,241080.01,7.348480E+07,229639.94,21472.50,6.549600E+06,20467.49
1739006160,236314.94,7.584795E+07,229842.22,21044.99,6.760050E+06,20484.99
1739006170,232377.54,7.817172E+07,229916.78,20722.50,6.967275E+06,20491.98
1739006180,241144.99,8.058318E+07,230237.59,21450.00,7.181775E+06,20519.35
1739006190,242032.34,8.300350E+07,230565.22,21547.49,7.397250E+06,20547.91
1739006200,241710.17,8.542060E+07,230866.44,21495.02,7.612200E+06,20573.51
1739006210,228380.02,8.770440E+07,230801.00,20445.00,7.816650E+06,20570.13
1739006220,233507.48,9.003948E+07,230870.40,20782.50,8.024475E+06,20575.57
1739006230,212092.39,9.216040E+07,230400.95,18944.99,8.213925E+06,20534.81
1739006240,231190.03,9.447230E+07,230420.20,20497.50,8.418900E+06,20533.90
1739006250,232835.11,9.680065E+07,230477.69,20692.51,8.625825E+06,20537.67
1739006260,232235.00,9.912300E+07,230518.56,20797.50,8.833800E+06,20543.72
1739006270,252864.99,1.016516E+08,231026.44,22432.50,9.058125E+06,20586.64
1739006280,259220.01,1.042438E+08,231652.96,23122.50,9.289350E+06,20643.00
1739006290,213127.50,1.063751E+08,231250.23,19132.50,9.480675E+06,20610.16
1739006300,238617.43,1.087613E+08,231406.98,21097.49,9.691650E+06,20620.53
1739006310,238050.07,1.111418E+08,231545.38,21375.01,9.905400E+06,20636.25
1739006320,239877.48,1.135406E+08,231715.42,21262.50,1.011802E+07,20649.03
1739006330,234897.52,1.158896E+08,231779.06,20970.00,1.032772E+07,20655.45
1739006340,161787.49,1.175074E+08,230406.68,14430.00,1.047202E+07,20533.38
1739006350,241477.50,1.199222E+08,230619.58,21457.50,1.068660E+07,20551.15
1739006360,261187.51,1.225341E+08,231196.33,23392.50,1.092052E+07,20604.76
1739006370,258350.01,1.251176E+08,231699.18,23010.00,1.115062E+07,20649.30
1739006380,263697.46,1.277546E+08,232280.97,23362.50,1.138425E+07,20698.63
1739006390,236745.03,1.301220E+08,232360.68,21210.00,1.159635E+07,20707.76
1739006400,257920.02,1.327012E+08,232809.09,22965.00,1.182600E+07,20747.37
1739006410,235477.51,1.350560E+08,232855.10,21022.50,1.203622E+07,20752.11
1739006420,237319.97,1.374292E+08,232930.77,21060.00,1.224682E+07,20757.33
1739006430,229367.54,1.397228E+08,232871.39,20445.00,1.245128E+07,20752.12
1739006440,231657.40,1.420394E+08,232851.48,20609.99,1.265738E+07,20749.79
1739006450,228490.08,1.443243E+08,232781.14,20370.01,1.286108E+07,20743.67
1739006460,235864.88,1.466830E+08,232830.09,21089.99,1.307198E+07,20749.16
1739006470,223960.12,1.489226E+08,232691.49,19845.01,1.327042E+07,20735.04
1739006480,229602.42,1.512186E+08,232643.97,20617.49,1.347660E+07,20733.23
1739006490,231902.58,1.535376E+08,232632.74,20557.51,1.368218E+07,20730.57
1739006500,233007.48,1.558677E+08,232638.33,20707.50,1.388925E+07,20730.22
1739006510,230869.99,1.581764E+08,232612.33,20722.50,1.409648E+07,20730.11
1739006520,234800.04,1.605244E+08,232644.03,20910.00,1.430558E+07,20732.72
1739006530,222442.48,1.627488E+08,232498.30,19740.00,1.450298E+07,20718.53
1739006540,233585.02,1.650847E+08,232513.60,20775.00,1.471072E+07,20719.33
1739006550,226082.45,1.673455E+08,232424.28,20137.50,1.491210E+07,20711.25
1739006560,205100.03,1.693965E+08,232049.97,18420.00,1.509630E+07,20679.86
1739006570,143389.99,1.708304E+08,230851.87,12690.00,1.522320E+07,20571.89
1739006580,139619.91,1.722266E+08,229635.44,12539.99,1.534860E+07,20464.80
1739006590,129175.00,1.735184E+08,228313.59,11505.00,1.546365E+07,20346.91
1739006600,135565.09,1.748740E+08,227109.07,12015.01,1.558380E+07,20238.70
1739006610,129279.97,1.761668E+08,225854.85,11520.00,1.569900E+07,20126.92
1739006620,157227.55,1.777391E+08,224986.15,14032.50,1.583932E+07,20049.78
1739006630,208062.35,1.798197E+08,224774.60,18577.49,1.602510E+07,20031.37
