time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1732862734,42499.62,4.250000E+05,42499.62,3869.97,3.870000E+04,3869.97
1732862744,387450.01,4.299500E+06,214974.04,34500.00,3.837000E+05,19184.91
1732862754,375549.92,8.055000E+06,268499.18,33529.99,7.190000E+05,23966.59
1732862764,369539.96,1.175040E+07,293759.32,32940.00,1.048400E+06,26209.94
1732862774,370390.12,1.545430E+07,309085.45,32960.01,1.378000E+06,27559.95
1732862784,371310.01,1.916740E+07,319456.19,33060.00,1.708600E+06,28476.62
1732862794,301469.98,2.218210E+07,316886.74,26950.00,1.978100E+06,28258.54
1732862804,383850.00,2.602060E+07,325257.14,34060.00,2.318700E+06,28983.72
1732862814,403390.05,3.005450E+07,333938.56,35960.00,2.678300E+06,29758.86
1732862824,365549.78,3.371000E+07,337099.68,32609.98,3.004400E+06,30043.97
1732862834,317450.16,3.688450E+07,335313.37,28390.01,3.288300E+06,29893.61
1732862844,345020.02,4.033470E+07,336122.25,30640.00,3.594700E+06,29955.81
1732862854,439889.93,4.473360E+07,344104.38,39299.99,3.987700E+06,30674.59
1732862864,324510.07,4.797870E+07,342704.79,28850.01,4.276200E+06,30544.27
1732862874,381510.00,5.179380E+07,345291.80,33910.00,4.615300E+06,30768.65
1732862884,368619.86,5.548000E+07,346749.80,32999.99,4.945300E+06,30908.11
1732862894,321439.98,5.869440E+07,345260.99,28620.00,5.231500E+06,30773.51
1732862904,336400.07,6.205840E+07,344768.72,29850.01,5.530000E+06,30722.21
1732862914,373059.96,6.578900E+07,346257.73,33300.00,5.863000E+06,30857.88
1732862924,379550.06,6.958450E+07,347922.34,33810.01,6.201100E+06,31005.49
1732862934,376010.00,7.334460E+07,349259.85,33570.00,6.536800E+06,31127.61
1732862944,374800.00,7.709260E+07,350420.77,33300.00,6.869800E+06,31226.35
1732862954,326900.00,8.036160E+07,349398.12,29280.00,7.162600E+06,31141.73
1732862964,338549.93,8.374710E+07,348946.12,30149.99,7.464100E+06,31100.40
1732862974,401250.12,8.775960E+07,351038.28,35630.01,7.820400E+06,31281.59
1732862984,370689.90,9.146650E+07,351794.11,33029.99,8.150700E+06,31348.84
1732862994,415020.13,9.561670E+07,354135.81,37080.01,8.521500E+06,31561.10
1732863004,312589.96,9.874260E+07,352652.03,27740.00,8.798900E+06,31424.63
