time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1737296800,333261.72,3.333200E+06,333261.72,29774.79,2.978000E+05,29774.79
1737296810,617639.91,9.509600E+06,475438.39,55099.99,8.488000E+05,42436.29
1737296820,579990.11,1.530950E+07,510286.93,51690.01,1.365700E+06,45520.68
1737296830,577810.01,2.108760E+07,527166.96,51380.00,1.879500E+06,46985.45
1737296840,569400.00,2.678160E+07,535613.27,50840.00,2.387900E+06,47756.33
1737296850,586350.03,3.264510E+07,544069.15,52130.00,2.909200E+06,48485.25
1737296860,538679.40,3.803190E+07,543299.21,48109.95,3.390300E+06,48431.64
1737296870,590470.64,4.393660E+07,549195.50,52590.06,3.916200E+06,48951.43
1737296880,569439.88,4.963100E+07,551444.83,50709.99,4.423300E+06,49146.82
1737296890,573270.04,5.536370E+07,553627.31,51060.00,4.933900E+06,49338.14
1737296900,613309.97,6.149680E+07,559052.92,54610.00,5.480000E+06,49817.39
1737296910,623850.02,6.773530E+07,564452.60,55690.00,6.036900E+06,50306.77
1737296920,598789.86,7.372320E+07,567093.90,53379.99,6.570700E+06,50543.17
1737296930,596130.14,7.968450E+07,569167.89,53040.01,7.101100E+06,50721.51
1737296940,614670.03,8.583120E+07,572201.33,54810.00,7.649200E+06,50994.07
1737296950,616100.03,9.199220E+07,574944.97,54980.00,8.199000E+06,51243.19
1737296960,610979.96,9.810200E+07,577064.65,54300.00,8.742000E+06,51423.00
1737296970,566860.04,1.037706E+08,576497.73,50590.00,9.247900E+06,51376.72
1737296980,575159.81,1.095222E+08,576427.32,51299.98,9.760900E+06,51372.68
1737296990,409340.06,1.136156E+08,568073.03,36350.01,1.012440E+07,50621.56
1737297000,316849.88,1.167841E+08,556110.12,28359.99,1.040800E+07,49561.49
1737297010,368250.12,1.204666E+08,547571.10,32700.01,1.073500E+07,48795.07
1737297020,343009.94,1.238967E+08,538677.20,30649.99,1.104150E+07,48006.16
1737297030,331850.14,1.272152E+08,530059.47,29590.01,1.133740E+07,47238.82
1737297040,398850.02,1.312037E+08,524811.13,35490.00,1.169230E+07,46768.87
1737297050,506829.97,1.362720E+08,524119.55,45250.00,1.214480E+07,46710.46
1737297060,505799.99,1.413300E+08,523441.05,44920.00,1.259400E+07,46644.14
1737297070,467659.98,1.460066E+08,521448.88,41650.00,1.301050E+07,46465.78
1737297080,477910.07,1.507857E+08,519947.56,42620.01,1.343670E+07,46333.17
1737297090,507639.95,1.558621E+08,519537.30,45220.00,1.388890E+07,46296.06
1737297100,458499.99,1.604471E+08,517568.37,40960.00,1.429850E+07,46123.93
1737297110,510780.04,1.655549E+08,517356.24,45450.00,1.475300E+07,46102.87
1737297120,508539.91,1.706403E+08,517089.08,45309.99,1.520610E+07,46078.85
1737297130,473400.08,1.753743E+08,515804.11,42280.01,1.562890E+07,45967.12
1737297140,450569.99,1.798800E+08,513940.29,40070.00,1.602960E+07,45798.63
1737297150,491759.98,1.847976E+08,513324.17,43760.00,1.646720E+07,45742.00
1737297160,529199.95,1.900896E+08,513753.25,47310.00,1.694030E+07,45784.38
