time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1737296784,446349.74,4.463600E+06,446349.74,39849.08,3.985000E+05,39849.08
1737296794,663119.84,1.109480E+07,554733.56,59119.99,9.897000E+05,49484.43
1737296804,648130.13,1.757610E+07,585865.50,57820.01,1.567900E+06,52262.93
1737296814,660889.71,2.418500E+07,604621.45,58829.97,2.156200E+06,53904.68
1737296824,651690.18,3.070190E+07,614035.15,57980.02,2.736000E+06,54719.75
1737296834,636050.11,3.706240E+07,617704.30,56800.01,3.304000E+06,55066.46
1737296844,574209.99,4.280450E+07,611490.84,51130.00,3.815300E+06,54504.11
1737296854,674229.96,4.954680E+07,619333.21,60030.00,4.415600E+06,55194.84
1737296864,647959.93,5.602640E+07,622513.95,57809.99,4.993700E+06,55485.41
1737296874,614640.11,6.217280E+07,621726.57,54790.01,5.541600E+06,55415.87
1737296884,609790.01,6.827070E+07,620641.43,54250.00,6.084100E+06,55309.88
1737296894,603249.85,7.430320E+07,619192.13,53859.99,6.622700E+06,55189.06
1737296904,637109.87,8.067430E+07,620570.42,56749.99,7.190200E+06,55309.13
1737296914,676560.17,8.743990E+07,624569.68,60190.01,7.792100E+06,55657.76
1737296924,659199.69,9.403190E+07,626878.34,58799.97,8.380100E+06,55867.25
1737296934,629690.38,1.003288E+08,627054.09,56150.03,8.941600E+06,55884.92
1737296944,632099.78,1.066498E+08,627350.90,56219.98,9.503800E+06,55904.63
1737296954,593130.28,1.125811E+08,625449.76,52930.02,1.003310E+07,55739.37
1737296964,492429.94,1.175054E+08,618448.72,43859.99,1.047170E+07,55114.14
1737296974,620340.02,1.237088E+08,618543.29,55190.00,1.102360E+07,55117.94
1737296984,595348.41,1.296623E+08,617438.77,53169.86,1.155530E+07,55025.17
1737296994,451371.15,1.341760E+08,609890.27,40260.10,1.195790E+07,54354.03
1737297004,441170.08,1.385877E+08,602554.61,39200.01,1.234990E+07,53695.16
1737297014,475350.00,1.433412E+08,597254.43,42310.00,1.277300E+07,53220.78
1737297024,425559.61,1.475968E+08,590386.63,38059.96,1.315360E+07,52614.35
1737297034,455830.37,1.521551E+08,585211.40,40490.03,1.355850E+07,52148.03
1737297044,454810.01,1.567032E+08,580381.73,40640.00,1.396490E+07,51721.81
1737297054,501040.00,1.617136E+08,577548.09,44650.00,1.441140E+07,51469.24
1737297064,514920.00,1.668628E+08,575388.51,45780.00,1.486920E+07,51273.06
1737297074,551800.05,1.723808E+08,574602.23,49280.00,1.536200E+07,51206.63
1737297084,536879.76,1.777496E+08,573385.37,47779.98,1.583980E+07,51096.09
1737297094,550880.20,1.832584E+08,572682.09,49020.02,1.633000E+07,51031.21
1737297104,541059.92,1.886690E+08,571723.84,48209.99,1.681210E+07,50945.72
1737297114,542200.09,1.940910E+08,570855.49,48330.01,1.729540E+07,50868.79
1737297124,548699.88,1.995780E+08,570222.48,48879.99,1.778420E+07,50811.97
1737297134,533580.00,2.049138E+08,569204.63,47550.00,1.825970E+07,50721.36
1737297144,552980.02,2.104436E+08,568766.13,49430.00,1.875400E+07,50686.45
1737297154,533580.04,2.157794E+08,567840.18,47550.00,1.922950E+07,50603.92
1737297164,546809.99,2.212475E+08,567300.94,48620.00,1.971570E+07,50553.05
1737297174,558750.12,2.268350E+08,567087.17,49850.01,2.021420E+07,50535.47
1737297184,529409.90,2.321291E+08,566168.22,47109.99,2.068530E+07,50451.92
1737297194,454770.09,2.366768E+08,563515.88,40510.01,2.109040E+07,50215.21
1737297204,526419.64,2.419410E+08,562653.18,46979.97,2.156020E+07,50139.97
1737297214,557880.34,2.475198E+08,562544.71,49720.03,2.205740E+07,50130.43
1737297224,523129.90,2.527511E+08,561668.82,46509.99,2.252250E+07,50049.97
1737297234,528969.94,2.580408E+08,560957.98,47289.99,2.299540E+07,49989.97
1737297244,503780.03,2.630786E+08,559741.42,44760.00,2.344300E+07,49878.70
1737297254,576460.12,2.688432E+08,560089.73,51420.01,2.395720E+07,49910.81
1737297264,552880.03,2.743720E+08,559942.59,49320.00,2.445040E+07,49898.75
1737297274,563599.95,2.800080E+08,560015.74,50220.00,2.495260E+07,49905.18
1737297284,556259.92,2.855706E+08,559942.10,49529.99,2.544790E+07,49897.82
1737297294,539720.15,2.909678E+08,559553.21,48000.01,2.592790E+07,49861.32
1737297304,547809.90,2.964459E+08,559331.64,48859.99,2.641650E+07,49842.43
1737297314,530450.03,3.017504E+08,558796.80,47390.00,2.689040E+07,49797.02
1737297324,581339.94,3.075638E+08,559206.67,51779.99,2.740820E+07,49833.07
1737297334,586879.88,3.134326E+08,559700.84,52159.99,2.792980E+07,49874.62
1737297344,534559.91,3.187782E+08,559259.77,47709.99,2.840690E+07,49836.65
1737297354,572960.33,3.245078E+08,559495.98,51010.03,2.891700E+07,49856.88
1737297364,575620.00,3.302640E+08,559769.27,51380.00,2.943080E+07,49882.69
1737297374,612799.97,3.363920E+08,560653.12,54560.00,2.997640E+07,49960.65
1737297384,611500.00,3.425070E+08,561486.67,54440.00,3.052080E+07,50034.08
1737297394,581649.84,3.483235E+08,561811.88,51849.99,3.103930E+07,50063.37
1737297404,479830.18,3.531218E+08,560510.59,42810.02,3.146740E+07,49948.24
1737297414,599239.90,3.591142E+08,561115.73,53439.99,3.200180E+07,50002.79
1737297424,606579.84,3.651800E+08,561815.18,54069.99,3.254250E+07,50065.37
1737297434,603800.16,3.712180E+08,562451.32,53730.01,3.307980E+07,50120.89
1737297444,580419.99,3.770222E+08,562719.51,51640.00,3.359620E+07,50143.56
1737297454,622090.09,3.832431E+08,563592.60,55430.01,3.415050E+07,50221.31
1737297464,584649.97,3.890896E+08,563897.78,52230.00,3.467280E+07,50250.42
1737297474,603529.91,3.951249E+08,564463.96,53669.99,3.520950E+07,50299.27
1737297484,584440.13,4.009693E+08,564745.31,52200.01,3.573150E+07,50326.04
1737297494,588540.01,4.068547E+08,565075.79,52400.00,3.625550E+07,50354.85
1737297504,605999.86,4.129147E+08,565636.40,53999.99,3.679550E+07,50404.78
1737297514,614610.09,4.190608E+08,566298.20,54780.01,3.734330E+07,50463.90
1737297524,625490.05,4.253157E+08,567087.43,55700.00,3.790030E+07,50533.72
1737297534,595359.93,4.312693E+08,567459.43,53119.99,3.843150E+07,50567.75
1737297544,565739.97,4.369267E+08,567437.10,50420.00,3.893570E+07,50565.83
1737297554,568950.00,4.426162E+08,567456.50,50570.00,3.944140E+07,50565.88
1737297564,591400.09,4.485302E+08,567759.58,52680.01,3.996820E+07,50592.64
1737297574,614429.92,4.546745E+08,568342.96,54769.99,4.051590E+07,50644.86
1737297584,617590.04,4.608504E+08,568950.95,55160.00,4.106750E+07,50700.60
1737297594,488750.01,4.657379E+08,567972.89,43460.00,4.150210E+07,50612.30
1737297604,550340.03,4.712413E+08,567760.44,49020.00,4.199230E+07,50593.12
