time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1737300701,226535.40,2.265400E+06,226535.40,20189.59,2.019000E+05,20189.59
1737300711,338750.00,5.652900E+06,282642.13,30200.00,5.039000E+05,25194.74
1737300721,333439.90,8.987300E+06,299574.61,29759.99,8.015000E+05,26716.48
1737300731,352120.13,1.250850E+07,312710.92,31400.01,1.115500E+06,27887.36
1737300741,334540.00,1.585390E+07,317076.72,29780.00,1.413300E+06,28265.89
1737300751,333610.00,1.919000E+07,319832.25,29830.00,1.711600E+06,28526.57
1737300761,328179.90,2.247180E+07,321024.77,29099.99,2.002600E+06,28608.49
1737300771,335300.10,2.582480E+07,322809.18,30020.01,2.302800E+06,28784.93
1737300781,331119.92,2.913600E+07,323732.60,29509.99,2.597900E+06,28865.49
1737300791,330310.10,3.243910E+07,324390.34,29420.01,2.892100E+06,28920.94
1737300801,272039.98,3.515950E+07,319631.23,24120.00,3.133300E+06,28484.49
1737300811,209869.95,3.725820E+07,310484.47,18690.00,3.320200E+06,27668.29
1737300821,205310.06,3.931130E+07,302394.14,18450.01,3.504700E+06,26959.19
1737300831,186069.99,4.117200E+07,294085.29,16580.00,3.670500E+06,26217.82
1737300841,176219.97,4.293420E+07,286227.61,15650.00,3.827000E+06,25513.30
1737300851,193829.90,4.487250E+07,280452.76,17269.99,3.999700E+06,24998.09
1737300861,289110.21,4.776360E+07,280962.02,25670.02,4.256400E+06,25037.62
1737300871,312489.99,5.088850E+07,282713.57,27910.00,4.535500E+06,25197.19
1737300881,305629.94,5.394480E+07,283919.69,27299.99,4.808500E+06,25307.87
1737300891,310700.04,5.705180E+07,285258.71,27540.00,5.083900E+06,25419.47
1737300901,295460.02,6.000640E+07,285744.49,26470.00,5.348600E+06,25469.50
1737300911,311759.99,6.312400E+07,286927.01,27700.00,5.625600E+06,25570.89
1737300921,295800.00,6.608200E+07,287312.79,26360.00,5.889200E+06,25605.19
1737300931,310769.92,6.918970E+07,288290.17,27729.99,6.166500E+06,25693.73
1737300941,319160.10,7.238130E+07,289524.97,28420.01,6.450700E+06,25802.78
1737300951,312110.00,7.550240E+07,290393.62,27860.00,6.729300E+06,25881.90
1737300961,305919.99,7.856160E+07,290968.67,27230.00,7.001600E+06,25931.83
1737300971,306490.01,8.162650E+07,291523.00,27270.00,7.274300E+06,25979.62
1737300981,306129.87,8.468780E+07,292026.69,27229.99,7.546600E+06,26022.74
1737300991,307039.50,8.775820E+07,292527.12,27359.96,7.820200E+06,26067.31
1737301001,307110.64,9.082930E+07,292997.55,27370.06,8.093900E+06,26109.34
1737301011,309710.01,9.392640E+07,293519.81,27720.00,8.371100E+06,26159.67
1737301021,299919.98,9.692560E+07,293713.76,26750.00,8.638600E+06,26177.56
1737301031,312330.01,1.000489E+08,294261.30,27730.00,8.915900E+06,26223.22
1737301041,307769.93,1.031266E+08,294647.26,27469.99,9.190600E+06,26258.84
1737301051,305160.06,1.061782E+08,294939.28,27090.01,9.461500E+06,26281.93
1737301061,307420.00,1.092524E+08,295276.60,27410.00,9.735600E+06,26312.42
1737301071,309319.96,1.123456E+08,295646.16,27670.00,1.001230E+07,26348.14
1737301081,310520.03,1.154508E+08,296027.54,27610.00,1.028840E+07,26380.50
1737301091,275650.02,1.182073E+08,295518.10,24510.00,1.053350E+07,26333.74
1737301101,301369.97,1.212210E+08,295660.83,26920.00,1.080270E+07,26348.04
1737301111,313620.01,1.243572E+08,296088.43,27870.00,1.108140E+07,26384.27
1737301121,301879.93,1.273760E+08,296223.11,27029.99,1.135170E+07,26399.29
1737301131,296800.06,1.303440E+08,296236.23,26350.01,1.161520E+07,26398.17
1737301141,301640.01,1.333604E+08,296356.31,27000.00,1.188520E+07,26411.54
1737301151,304849.99,1.364089E+08,296540.96,27070.00,1.215590E+07,26425.86
