time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1737300701,218922.59,2.189600E+06,218922.59,19516.66,1.952000E+05,19516.66
1737300711,327359.99,5.463200E+06,273136.66,29320.00,4.884000E+05,24417.91
1737300721,331119.95,8.774400E+06,292463.33,29510.00,7.835000E+05,26115.18
1737300731,333009.94,1.210450E+07,302599.55,29599.99,1.079500E+06,26986.34
1737300741,329230.11,1.539680E+07,307925.47,29420.01,1.373700E+06,27473.06
1737300751,337909.93,1.877590E+07,312922.74,30059.99,1.674300E+06,27904.20
1737300761,344807.31,2.222400E+07,317477.60,30609.76,1.980400E+06,28290.71
1737300771,344082.73,2.566480E+07,320803.14,30810.24,2.288500E+06,28605.64
1737300781,353249.85,2.919730E+07,324408.27,31439.99,2.602900E+06,28920.56
1737300791,348030.16,3.267760E+07,326770.41,31030.01,2.913200E+06,29131.50
1737300801,286510.01,3.554270E+07,323110.43,25450.00,3.167700E+06,28796.83
1737300811,228599.85,3.782870E+07,315234.66,20359.99,3.371300E+06,28093.76
1737300821,231650.15,4.014520E+07,308805.17,20670.01,3.578000E+06,27522.72
1737300831,192039.95,4.206560E+07,300464.90,17200.00,3.750000E+06,26785.39
1737300841,185199.99,4.391760E+07,292780.66,16520.00,3.915200E+06,26101.04
1737300851,208099.99,4.599860E+07,287488.17,18470.00,4.099900E+06,25624.10
1737300861,297490.11,4.897350E+07,288076.52,26420.01,4.364100E+06,25670.92
1737300871,301119.97,5.198470E+07,288801.14,26940.00,4.633500E+06,25741.42
1737300881,299830.03,5.498300E+07,289381.61,26750.00,4.901000E+06,25794.50
1737300891,303139.99,5.801440E+07,290069.52,26860.00,5.169600E+06,25847.78
1737300901,299560.01,6.101000E+07,290521.44,26700.00,5.436600E+06,25888.36
1737300911,293880.00,6.394880E+07,290674.11,26320.00,5.699800E+06,25907.98
1737300921,281049.89,6.675930E+07,290255.66,24969.99,5.949500E+06,25867.20
1737300931,294150.07,6.970080E+07,290417.93,26300.01,6.212500E+06,25885.23
1737300941,307199.97,7.277280E+07,291089.21,27370.00,6.486200E+06,25944.62
1737300951,287580.01,7.564860E+07,290954.24,25550.00,6.741700E+06,25929.44
1737300961,301460.00,7.866320E+07,291343.34,26960.00,7.011300E+06,25967.61
1737300971,295489.97,8.161810E+07,291491.43,26180.00,7.273100E+06,25975.20
1737300981,301990.12,8.463800E+07,291853.45,27050.01,7.543600E+06,26012.26
1737300991,300199.98,8.764000E+07,292131.67,26740.00,7.811000E+06,26036.52
1737301001,318789.92,9.082790E+07,292991.61,28269.99,8.093700E+06,26108.57
1737301011,307950.06,9.390740E+07,293459.06,27490.00,8.368600E+06,26151.74
1737301021,300460.00,9.691200E+07,293671.21,26840.00,8.637000E+06,26172.59
1737301031,312040.03,1.000324E+08,294211.46,27680.00,8.913800E+06,26216.93
1737301041,306529.99,1.030977E+08,294563.42,27330.00,9.187100E+06,26248.73
1737301051,304069.97,1.061384E+08,294827.49,27240.00,9.459500E+06,26276.26
1737301061,311610.05,1.092545E+08,295281.07,27640.00,9.735900E+06,26313.12
1737301071,306449.97,1.123190E+08,295574.99,27280.00,1.000870E+07,26338.57
1737301081,306640.01,1.153854E+08,295858.70,27320.00,1.028190E+07,26363.73
1737301091,278389.86,1.181693E+08,295421.98,24959.99,1.053150E+07,26328.64
1737301101,303770.15,1.212070E+08,295625.60,26920.01,1.080070E+07,26343.06
1737301111,299829.63,1.242053E+08,295725.69,26759.97,1.106830E+07,26352.99
1737301121,310750.40,1.273128E+08,296075.10,27790.04,1.134620E+07,26386.41
1737301131,299899.82,1.303118E+08,296162.03,26679.98,1.161300E+07,26393.08
1737301141,307350.16,1.333853E+08,296410.65,27370.01,1.188670E+07,26414.79
1737301151,301210.00,1.363974E+08,296514.99,26760.00,1.215430E+07,26422.29
1737301161,307839.99,1.394758E+08,296755.94,27470.00,1.242900E+07,26444.58
1737301171,293699.91,1.424128E+08,296692.27,26299.99,1.269200E+07,26441.57
1737301181,305120.10,1.454640E+08,296864.27,27120.01,1.296320E+07,26455.42
1737301191,292960.00,1.483936E+08,296786.19,26170.00,1.322490E+07,26449.71
1737301201,304060.02,1.514342E+08,296928.81,26970.00,1.349460E+07,26459.91
1737301211,299380.00,1.544280E+08,296975.95,26700.00,1.376160E+07,26464.53
1737301221,301519.97,1.574432E+08,297061.68,26970.00,1.403130E+07,26474.07
1737301231,302249.97,1.604657E+08,297157.76,26780.00,1.429910E+07,26479.73
1737301241,299570.06,1.634614E+08,297201.62,26680.01,1.456590E+07,26483.37
1737301251,295059.86,1.664120E+08,297163.38,26459.99,1.483050E+07,26482.95
1737301261,298520.09,1.693972E+08,297187.18,26590.01,1.509640E+07,26484.83
1737301271,304919.86,1.724464E+08,297320.50,27079.99,1.536720E+07,26495.09
