benchmark,percent_change,degraded
BenchmarkIntersectFullOverlap/items_10000-2,45.56695292620866,1
BenchmarkAddMulti/items_1-2,42.75472517923093,1
"""bench-fast-queue-throughput-concurrent-1000000""",34.51210370781482,1
BenchmarkUnionNoOverlap/items_1000000-2,29.78612509527812,1
BenchmarkAreIdenticalSeriesFast/different-series-with-timestamps-2,29.628448413331192,1
BenchmarkUnionPartialOverlap/items_10000-2,27.97511394053389,1
BenchmarkDedupAggr/samplesPerPush_1000-2,26.685544768069036,1
BenchmarkMarshalUnmarshalMetricIDs/numMetricIDs-100-2,24.060772664124624,1
BenchmarkUnionNoOverlap/items_10000-2,23.46227471376459,1
BenchmarkMarshalStringsBlock-2,22.48360971847281,1
BenchmarkUnionPartialOverlap/items_100000-2,19.574587377790237,1
"""bench-fast-queue-throughput-serial-1000000""",15.798970368610119,1
BenchmarkIsAutoMetricMiss-2,15.014821497615685,1
BenchmarkMarshalVarInt64/big-ints-2,13.726178535606776,1
BenchmarkBitmapForEachSetBit/half-zero-bits-noclear-2,13.587593236224485,1
BenchmarkSetAddRandomLastBits/lastBits_32-2,12.130328566104287,1
BenchmarkIntersectNoOverlap/items_10000-2,11.92876566956291,1
BenchmarkMergeSortBlocks/replicationFactor-3-2,11.758545106958046,1
BenchmarkIntersectPartialOverlap/items_100000-2,11.536083536564421,1
BenchmarkSetHasHit/items_10000000-2,11.119807717430973,1
BenchmarkFilterAdd/maxItems=10000000-2,10.874819571191145,1
BenchmarkAppendFloatToDecimal/Zeros-2,10.540202749618107,1
BenchmarkAdd/items_1000-2,10.07317595909494,1
BenchmarkFromFloat/12343.4344-2,9.572031344183262,1
BenchmarkMapAddWithAllocs/items_10000000-2,9.323341972691034,1
BenchmarkMapAddReuse/items_1000000-2,9.237843161088813,1
BenchmarkTryParseUint64-2,8.330290543007663,1
BenchmarkSetHasMiss/items_1000-2,7.414891430919939,1
BenchmarkBitmapForEachSetBitReadonly/no-zero-bits-2,7.01795493392692,1
"""bench-fast-queue-throughput-concurrent-10000""",6.151566323189854,1
BenchmarkTryParseTimestampRFC3339Nano-2,6.111389864525844,1
BenchmarkMapAddWithAllocs/items_10000-2,5.322539874670345,1
created,5.27180160945967,1
BenchmarkAdd/items_1000000-2,4.356086957789761,1
BenchmarkMapHasMiss/items_10000000-2,4.31526446559862,1
