time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1737564403,188764.75,1.888025E+06,188764.75,16939.11,1.694250E+05,16939.11
1737564413,402800.08,5.916025E+06,295771.71,35835.01,5.277750E+05,26386.11
1737564423,423954.37,1.015560E+07,338496.63,37859.72,9.063750E+05,30210.41
1737564433,434035.69,1.449592E+07,362380.02,38662.78,1.293000E+06,32323.39
1737564443,438802.45,1.888395E+07,377663.90,39105.00,1.684050E+06,33679.65
1737564453,410347.46,2.298742E+07,383110.98,36592.50,2.049975E+06,34165.11
1737564463,385317.62,2.684060E+07,383426.20,34222.51,2.392200E+06,34173.31
1737564473,439420.01,3.123480E+07,390425.25,39277.50,2.784975E+06,34811.32
1737564483,434412.38,3.557892E+07,395312.61,38654.99,3.171525E+06,35238.38
1737564493,434602.52,3.992495E+07,399241.52,38632.50,3.557850E+06,35577.79
1737564503,354687.43,4.347182E+07,395191.22,31589.99,3.873750E+06,35215.27
1737564513,421937.64,4.769120E+07,397420.05,37665.01,4.250400E+06,35419.41
1737564523,432532.38,5.201652E+07,400120.96,38572.49,4.636125E+06,35661.95
1737564533,447017.65,5.648670E+07,403470.67,39742.51,5.033550E+06,35953.42
1737564543,429500.03,6.078170E+07,405205.94,38340.00,5.416950E+06,36112.52
1737564553,349504.93,6.427675E+07,401724.67,31229.99,5.729250E+06,35807.37
1737564563,436110.07,6.863785E+07,403747.32,38850.01,6.117750E+06,35986.34
1737564573,434645.01,7.298430E+07,405463.84,38670.00,6.504450E+06,36135.43
1737564583,422329.93,7.720760E+07,406351.52,37717.49,6.881625E+06,36218.70
1737564593,419200.03,8.139960E+07,406993.94,37312.50,7.254750E+06,36273.39
1737564603,337144.87,8.477105E+07,403667.82,29939.99,7.554150E+06,35971.80
1737564613,390572.52,8.867678E+07,403072.58,34927.50,7.903425E+06,35924.33
1737564623,380442.57,9.248120E+07,402088.68,33915.01,8.242575E+06,35836.97
1737564633,289377.45,9.537498E+07,397392.42,25740.00,8.499975E+06,35416.27
