time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1737547009,113979.53,1.139900E+06,113979.53,10169.07,1.017000E+05,10169.07
1737547019,271329.98,3.853200E+06,192651.14,24307.50,3.447750E+05,17237.96
1737547029,270922.50,6.562425E+06,218740.79,24060.00,5.853750E+05,19511.90
1737547039,259167.50,9.154100E+06,228847.24,23137.50,8.167500E+05,20418.28
1737547049,250735.00,1.166145E+07,233224.71,22350.00,1.040250E+06,20804.62
1737547059,250817.51,1.416962E+07,236156.80,22357.50,1.263825E+06,21063.43
1737547069,266370.00,1.683332E+07,240472.91,23730.00,1.501125E+06,21444.36
1737547079,268232.49,1.951565E+07,243942.82,23962.50,1.740750E+06,21759.12
1737547089,269504.99,2.221070E+07,246783.03,23895.00,1.979700E+06,21996.44
1737547099,268492.44,2.489562E+07,248953.95,23887.49,2.218575E+06,22185.55
1737547109,274172.58,2.763735E+07,251246.54,24420.01,2.462775E+06,22388.68
1737547119,252205.00,3.015940E+07,251326.41,22552.50,2.688300E+06,22402.33
1737547129,261420.00,3.277360E+07,252102.83,23370.00,2.922000E+06,22476.76
1737547139,264710.01,3.542070E+07,253003.34,23550.00,3.157500E+06,22553.42
1737547149,261750.00,3.803820E+07,253586.45,23310.00,3.390600E+06,22603.86
1737547159,261972.45,4.065792E+07,254110.57,23287.50,3.623475E+06,22646.59
1737547169,252950.06,4.318742E+07,254042.30,22650.01,3.849975E+06,22646.79
1737547179,190122.48,4.508865E+07,250491.22,16785.00,4.017825E+06,22321.14
1737547189,152829.99,4.661695E+07,245351.18,13642.50,4.154250E+06,21864.37
1737547199,149927.46,4.811622E+07,240580.01,13492.50,4.289175E+06,21445.78
1737547209,128537.55,4.940160E+07,235244.68,11422.50,4.403400E+06,20968.48
1737547219,136359.96,5.076520E+07,230749.94,12120.00,4.524600E+06,20566.28
1737547229,169822.50,5.246342E+07,228100.93,15142.50,4.676025E+06,20330.46
1737547239,215272.48,5.461615E+07,227566.42,19102.50,4.867050E+06,20279.30
1737547249,219600.02,5.681215E+07,227247.76,19560.00,5.062650E+06,20250.53
1737547259,217860.06,5.899075E+07,226886.70,19402.50,5.256675E+06,20217.91
1737547269,221005.01,6.120080E+07,226668.86,19822.50,5.454900E+06,20203.26
1737547279,222944.96,6.343025E+07,226535.86,19732.50,5.652225E+06,20186.45
1737547289,205535.04,6.548560E+07,225811.70,18457.50,5.836800E+06,20126.83
1737547299,214167.50,6.762728E+07,225423.56,18952.50,6.026325E+06,20087.69
1737547309,221972.49,6.984700E+07,225312.23,19905.00,6.225375E+06,20081.80
1737547319,223410.01,7.208110E+07,225252.79,19777.50,6.423150E+06,20072.29
1737547329,220690.00,7.428800E+07,225114.52,19785.00,6.621000E+06,20063.58
1737547339,216169.98,7.644970E+07,224851.45,19170.00,6.812700E+06,20037.30
1737547349,237210.02,7.882180E+07,225204.55,21270.00,7.025400E+06,20072.52
1737547359,240185.01,8.122365E+07,225620.67,21307.50,7.238475E+06,20106.82
1737547369,244720.01,8.367085E+07,226136.87,21907.50,7.457550E+06,20155.49
1737547379,247642.35,8.614728E+07,226702.80,21937.49,7.676925E+06,20202.39
1737547389,242242.64,8.856970E+07,227101.26,21577.51,7.892700E+06,20237.64
1737547399,247097.48,9.104068E+07,227601.16,22102.50,8.113725E+06,20284.27
1737547409,245834.99,9.349902E+07,228045.89,21825.00,8.331975E+06,20321.84
1737547419,231582.48,9.581485E+07,228130.10,20677.50,8.538750E+06,20330.31
1737547429,244244.95,9.825730E+07,228504.86,21690.00,8.755650E+06,20361.93
1737547439,252175.08,1.007790E+08,229042.82,22552.51,8.981175E+06,20411.72
1737547449,257165.01,1.033507E+08,229667.75,22837.50,9.209550E+06,20465.62
1737547459,244989.98,1.058006E+08,230000.84,21952.50,9.429075E+06,20497.95
1737547469,241384.98,1.082144E+08,230243.06,21480.00,9.643875E+06,20518.84
1737547479,240375.04,1.106182E+08,230454.14,21322.50,9.857100E+06,20535.59
1737547489,235940.01,1.129776E+08,230566.10,21090.00,1.006800E+07,20546.90
1737547499,244502.50,1.154226E+08,230844.83,21877.50,1.028678E+07,20573.51
1737547509,167314.98,1.170958E+08,229599.14,14805.00,1.043482E+07,20460.40
1737547519,242085.02,1.195166E+08,229839.26,21555.00,1.065038E+07,20481.45
1737547529,242452.51,1.219412E+08,230077.24,21607.50,1.086645E+07,20502.70
1737547539,241754.90,1.243587E+08,230293.49,21509.99,1.108155E+07,20521.35
1737547549,246370.06,1.268224E+08,230585.80,22110.01,1.130265E+07,20550.24
1737547559,265080.04,1.294732E+08,231201.76,23580.00,1.153845E+07,20604.34
1737547569,272010.01,1.321933E+08,231917.70,24120.00,1.177965E+07,20666.02
1737547579,277549.99,1.349688E+08,232704.46,24855.00,1.202820E+07,20738.24
1737547589,273765.00,1.377064E+08,233400.40,24367.50,1.227188E+07,20799.76
1737547599,276995.01,1.404764E+08,234126.97,24750.00,1.251938E+07,20865.59
