time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1731075118,43979.54,4.398000E+05,43979.54,4059.96,4.060000E+04,4059.96
1731075128,322899.94,3.668800E+06,183439.03,28759.99,3.282000E+05,16409.91
1731075138,333899.97,7.007800E+06,233592.51,29740.00,6.256000E+05,20853.26
1731075148,344480.09,1.045260E+07,261314.32,30700.01,9.326000E+05,23314.94
1731075158,317620.06,1.362880E+07,272575.45,28330.01,1.215900E+06,24317.95
1731075168,322879.93,1.685760E+07,280959.51,28779.99,1.503700E+06,25061.62
1731075178,280879.98,1.966640E+07,280948.15,25000.00,1.753700E+06,25052.82
1731075188,331360.09,2.298000E+07,287249.63,29530.01,2.049000E+06,25612.47
1731075198,332199.90,2.630200E+07,292244.10,29629.99,2.345300E+06,26058.86
1731075208,323110.01,2.953310E+07,295330.69,28800.00,2.633300E+06,26332.97
1731075218,278170.01,3.231480E+07,293770.63,24660.00,2.879900E+06,26180.88
1731075228,341520.10,3.573000E+07,297749.75,30450.01,3.184400E+06,26536.64
1731075238,339149.79,3.912150E+07,300934.37,30209.98,3.486500E+06,26819.21
1731075248,332880.20,4.245030E+07,303216.21,29740.02,3.783900E+06,27027.84
1731075258,338309.99,4.583340E+07,305555.79,30100.00,4.084900E+06,27232.65
1731075268,281830.00,4.865170E+07,304072.93,25060.00,4.335500E+06,27096.86
1731075278,243790.01,5.108960E+07,300526.88,21810.00,4.553600E+06,26785.87
1731075288,236399.99,5.345360E+07,296964.28,21130.00,4.764900E+06,26471.65
1731075298,175499.79,5.520860E+07,290571.41,15559.98,4.920500E+06,25897.35
1731075308,183820.22,5.704680E+07,285233.85,16290.02,5.083400E+06,25416.99
1731075318,284449.94,5.989130E+07,285196.53,25409.99,5.337500E+06,25416.65
1731075328,324189.94,6.313320E+07,286968.95,28939.99,5.626900E+06,25576.81
1731075338,329730.16,6.643050E+07,288828.13,29300.01,5.919900E+06,25738.68
1731075348,307249.91,6.950300E+07,289595.71,27389.99,6.193800E+06,25807.49
1731075358,306690.05,7.256990E+07,290279.48,27310.00,6.466900E+06,25867.59
1731075368,322450.02,7.579440E+07,291516.81,28710.00,6.754000E+06,25976.91
1731075378,311119.93,7.890560E+07,292242.85,27889.99,7.032900E+06,26047.77
1731075388,333640.10,8.224200E+07,293721.32,29630.01,7.329200E+06,26175.70
1731075398,276459.93,8.500660E+07,293126.10,24569.99,7.574900E+06,26120.34
1731075408,326600.00,8.827260E+07,294241.90,29250.00,7.867400E+06,26224.66
1731075418,313070.07,9.140330E+07,294849.26,27810.01,8.145500E+06,26275.80
1731075428,315370.00,9.455700E+07,295490.53,28120.00,8.426700E+06,26333.43
1731075438,339479.89,9.795180E+07,296823.54,30259.99,8.729300E+06,26452.42
1731075448,244220.07,1.003940E+08,295276.38,21830.01,8.947600E+06,26316.46
1731075458,338599.99,1.037800E+08,296514.20,30140.00,9.249000E+06,26425.71
1731075468,320519.87,1.069852E+08,297181.02,28439.99,9.533400E+06,26481.66
1731075478,341040.07,1.103956E+08,298366.40,30480.01,9.838200E+06,26589.72
1731075488,274290.00,1.131385E+08,297732.81,24410.00,1.008230E+07,26532.36
1731075498,322499.95,1.163635E+08,298367.87,28700.00,1.036930E+07,26587.94
1731075508,172290.03,1.180864E+08,295215.92,15470.00,1.052400E+07,26309.99
1731075518,273119.95,1.208176E+08,294677.00,24280.00,1.076680E+07,26260.48
1731075528,201550.03,1.228331E+08,292459.69,17930.00,1.094610E+07,26062.14
1731075538,301010.04,1.258432E+08,292658.54,26910.00,1.121520E+07,26081.85
1731075548,328260.03,1.291258E+08,293467.66,29120.00,1.150640E+07,26150.90
1731075558,347709.96,1.326029E+08,294673.04,30990.00,1.181630E+07,26258.44
1731075568,267849.95,1.352814E+08,294089.93,23940.00,1.205570E+07,26208.04
1731075578,323560.08,1.385170E+08,294716.96,28850.01,1.234420E+07,26264.25
1731075588,328389.92,1.418009E+08,295418.48,29169.99,1.263590E+07,26324.79
1731075598,322270.08,1.450236E+08,295966.47,28770.01,1.292360E+07,26374.69
1731075608,320390.00,1.482275E+08,296454.94,28640.00,1.321000E+07,26419.99
1731075618,296079.91,1.511883E+08,296447.59,26249.99,1.347250E+07,26416.66
1731075628,347510.04,1.546634E+08,297429.56,30970.00,1.378220E+07,26504.23
1731075638,318380.00,1.578472E+08,297824.85,28510.00,1.406730E+07,26542.07
1731075648,339130.07,1.612385E+08,298589.76,30220.01,1.436950E+07,26610.18
1731075658,274300.01,1.639815E+08,298148.13,24420.00,1.461370E+07,26570.36
1731075668,328389.91,1.672654E+08,298688.16,29129.99,1.490500E+07,26616.07
1731075678,323690.08,1.705023E+08,299126.79,28870.01,1.519370E+07,26655.61
1731075688,337619.92,1.738785E+08,299790.46,30059.99,1.549430E+07,26714.31
1731075698,286220.07,1.767407E+08,299560.46,25610.01,1.575040E+07,26695.59
1731075708,324890.01,1.799896E+08,299982.62,28990.00,1.604030E+07,26733.83
1731075718,336479.99,1.833544E+08,300580.93,29890.00,1.633920E+07,26785.57
1731075728,324639.99,1.866008E+08,300968.98,28990.00,1.662910E+07,26821.12
1731075738,340320.03,1.900040E+08,301593.60,30370.00,1.693280E+07,26877.46
1731075748,271269.99,1.927167E+08,301119.80,24010.00,1.717290E+07,26832.65
1731075758,334450.00,1.960612E+08,301632.57,29950.00,1.747240E+07,26880.61
1731075768,331559.95,1.993768E+08,302086.01,29560.00,1.776800E+07,26921.21
1731075778,339290.06,2.027697E+08,302641.30,30230.01,1.807030E+07,26970.59
1731075788,281220.00,2.055819E+08,302326.28,25000.00,1.832030E+07,26941.61
1731075798,325170.00,2.088336E+08,302657.35,29030.00,1.861060E+07,26971.88
1731075808,319919.91,2.120328E+08,302903.95,28379.99,1.889440E+07,26992.00
1731075818,346650.00,2.154993E+08,303520.10,30860.00,1.920300E+07,27046.47
1731075828,331250.08,2.188118E+08,303905.23,29520.01,1.949820E+07,27080.83
1731075838,301619.98,2.218280E+08,303873.93,26990.00,1.976810E+07,27079.59
1731075848,329230.03,2.251203E+08,304216.58,29240.00,2.006050E+07,27108.78
1731075858,349890.00,2.286192E+08,304825.56,31290.00,2.037340E+07,27164.53
1731075868,270279.99,2.313220E+08,304371.01,24020.00,2.061360E+07,27123.15
1731075878,141049.95,2.327325E+08,302249.96,12610.00,2.073970E+07,26934.67
1731075888,194570.00,2.346782E+08,300869.45,17360.00,2.091330E+07,26811.92
1731075898,314820.01,2.378264E+08,301046.04,28040.00,2.119370E+07,26827.46
1731075908,337240.12,2.411988E+08,301498.46,29950.01,2.149320E+07,26866.50
1731075918,243360.01,2.436324E+08,300780.70,21740.00,2.171060E+07,26803.21
1731075928,194549.91,2.455779E+08,299485.21,17369.99,2.188430E+07,26688.17
1731075938,217130.02,2.477492E+08,298492.97,19290.00,2.207720E+07,26599.03
1731075948,185980.05,2.496090E+08,297153.54,16580.00,2.224300E+07,26479.76
1731075958,172149.85,2.513305E+08,295682.90,15449.99,2.239750E+07,26350.00
1731075968,297290.16,2.543034E+08,295701.59,26430.01,2.266180E+07,26350.93
1731075978,293099.98,2.572344E+08,295671.69,26170.00,2.292350E+07,26348.85
1731075988,318970.13,2.604241E+08,295936.44,28270.01,2.320620E+07,26370.68
1731075998,334389.95,2.637680E+08,296368.51,29930.00,2.350550E+07,26410.67
1731076008,316880.06,2.669368E+08,296596.41,28240.01,2.378790E+07,26431.00
1731076018,262349.90,2.695603E+08,296220.08,23259.99,2.402050E+07,26396.15
1731076028,327650.12,2.728368E+08,296561.71,29310.01,2.431360E+07,26427.82
1731076038,318609.93,2.760229E+08,296798.78,28269.99,2.459630E+07,26447.63
1731076048,326230.05,2.792852E+08,297111.88,29210.00,2.488840E+07,26477.02
1731076058,320660.03,2.824918E+08,297359.76,28460.00,2.517300E+07,26497.89
1731076068,302259.97,2.855144E+08,297410.80,27050.00,2.544350E+07,26503.64
1731076078,325859.99,2.887730E+08,297704.09,28910.00,2.573260E+07,26528.45
1731076088,318940.03,2.919624E+08,297920.79,28510.00,2.601770E+07,26548.67
1731076098,331279.97,2.952752E+08,298257.75,29520.00,2.631290E+07,26578.68
1731076108,316560.03,2.984408E+08,298440.77,28250.00,2.659540E+07,26595.40
1731076118,263569.96,3.010765E+08,298095.51,23370.00,2.682910E+07,26563.46
1731076128,323130.04,3.043078E+08,298340.95,28790.00,2.711700E+07,26585.29
1731076138,332000.02,3.076278E+08,298667.74,29630.00,2.741330E+07,26614.85
1731076148,321679.96,3.108446E+08,298889.01,28580.00,2.769910E+07,26633.75
1731076158,287380.03,3.137184E+08,298779.40,25750.00,2.795660E+07,26625.33
1731076168,324140.00,3.169598E+08,299018.65,28840.00,2.824500E+07,26646.22
1731076178,324130.01,3.202011E+08,299253.34,28830.00,2.853330E+07,26666.63
1731076188,337329.93,3.235744E+08,299605.90,30159.99,2.883490E+07,26698.98
1731076198,327240.05,3.268468E+08,299859.42,29030.00,2.912520E+07,26720.36
1731076208,292199.96,3.297688E+08,299789.79,26120.00,2.938640E+07,26714.91
1731076218,330030.05,3.330691E+08,300062.22,29330.00,2.967970E+07,26738.47
1731076228,317650.00,3.362456E+08,300219.26,28420.00,2.996390E+07,26753.48
1731076238,324960.00,3.394952E+08,300438.20,28960.00,3.025350E+07,26773.01
1731076248,270150.00,3.421967E+08,300172.52,23940.00,3.049290E+07,26748.16
1731076258,319690.01,3.453936E+08,300342.23,28620.00,3.077910E+07,26764.43
1731076268,336139.77,3.487550E+08,300650.83,29899.98,3.107810E+07,26791.46
1731076278,153400.05,3.502890E+08,299392.28,13660.00,3.121470E+07,26679.23
1731076288,195419.99,3.522432E+08,298511.16,17470.00,3.138940E+07,26601.18
1731076298,223070.07,3.544739E+08,297877.20,19770.01,3.158710E+07,26543.78
1731076308,323709.92,3.577110E+08,298092.47,28829.99,3.187540E+07,26562.83
1731076318,177899.99,3.594900E+08,297099.15,15860.00,3.203400E+07,26474.38
1731076328,147480.02,3.609648E+08,295872.76,13240.00,3.216640E+07,26365.90
1731076338,285899.96,3.638238E+08,295791.68,25460.00,3.242100E+07,26358.53
1731076348,326840.02,3.670922E+08,296042.07,29080.00,3.271180E+07,26380.48
1731076358,316280.09,3.702550E+08,296203.98,28240.01,3.299420E+07,26395.36
1731076368,333620.00,3.735912E+08,296500.93,29760.00,3.329180E+07,26422.06
1731076378,288619.91,3.764774E+08,296438.87,25689.99,3.354870E+07,26416.30
1731076388,315860.04,3.796360E+08,296590.60,28170.00,3.383040E+07,26430.00
1731076398,325030.06,3.828863E+08,296811.06,28950.01,3.411990E+07,26449.53
1731076408,336529.95,3.862516E+08,297116.59,29970.00,3.441960E+07,26476.61
1731076418,316559.89,3.894172E+08,297265.01,28249.99,3.470210E+07,26490.15
1731076428,290350.15,3.923207E+08,297212.63,25860.01,3.496070E+07,26485.38
