time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1737535950,131378.02,1.313800E+06,131378.02,11789.82,1.179000E+05,11789.82
1737535960,292420.04,4.238000E+06,211898.42,26115.00,3.790500E+05,18952.36
1737535970,292560.03,7.163600E+06,238785.49,26077.50,6.398250E+05,21327.39
1737535980,272919.98,9.892800E+06,247319.08,24307.50,8.829000E+05,22072.42
1737535990,268200.02,1.257480E+07,251495.25,23917.50,1.122075E+06,22441.43
1737536000,265739.98,1.523220E+07,253869.37,23692.50,1.359000E+06,22649.94
1737536010,280855.02,1.804075E+07,257724.45,24952.50,1.608525E+06,22978.88
1737536020,280099.93,2.084175E+07,260521.38,24892.49,1.857450E+06,23218.08
1737536030,230937.50,2.315112E+07,257234.29,20722.50,2.064675E+06,22940.79
1737536040,278792.51,2.593905E+07,259390.11,24675.00,2.311425E+06,23114.22
1737536050,269875.03,2.863780E+07,260343.28,24180.00,2.553225E+06,23211.10
1737536060,284900.01,3.148680E+07,262389.68,25395.00,2.807175E+06,23393.10
1737536070,283459.99,3.432140E+07,264010.47,25222.50,3.059400E+06,23533.82
1737536080,285792.52,3.717932E+07,265566.33,25387.50,3.313275E+06,23666.22
1737536090,276482.49,3.994415E+07,266294.07,24727.50,3.560550E+06,23736.98
1737536100,259635.00,4.254050E+07,265877.88,23175.00,3.792300E+06,23701.85
1737536110,264905.01,4.518955E+07,265820.65,23542.50,4.027725E+06,23692.48
1737536120,271089.92,4.790045E+07,266113.39,24142.49,4.269150E+06,23717.48
1737536130,266872.59,5.056918E+07,266153.35,23767.51,4.506825E+06,23720.11
1737536140,270127.48,5.327045E+07,266352.05,24105.00,4.747875E+06,23739.36
1737536150,202954.96,5.530000E+07,263333.14,18112.50,4.929000E+06,23471.41
1737536160,155799.88,5.685800E+07,258445.27,13897.49,5.067975E+06,23036.23
1737536170,149145.13,5.834945E+07,253693.10,13177.51,5.199750E+06,22607.59
1737536180,135942.51,5.970888E+07,248786.82,12097.50,5.320725E+06,22169.67
1737536190,123195.01,6.094082E+07,243763.16,11025.00,5.430975E+06,21723.89
1737536200,168292.42,6.262375E+07,240860.44,14939.99,5.580375E+06,21462.97
1737536210,204520.09,6.466895E+07,239514.50,18337.51,5.763750E+06,21347.21
1737536220,234645.01,6.701540E+07,239340.59,20917.50,5.972925E+06,21331.86
1737536230,227379.94,6.928920E+07,238928.15,20309.99,6.176025E+06,21296.63
1737536240,229727.54,7.158648E+07,238621.46,20310.00,6.379125E+06,21263.74
1737536250,228340.02,7.386988E+07,238289.81,20400.00,6.583125E+06,21235.88
1737536260,233374.93,7.620362E+07,238136.22,20744.99,6.790575E+06,21220.54
1737536270,233164.98,7.853528E+07,237985.57,20775.00,6.998325E+06,21207.04
1737536280,231792.48,8.085320E+07,237803.42,20790.00,7.206225E+06,21194.77
1737536290,234440.09,8.319760E+07,237707.33,20887.51,7.415100E+06,21185.99
1737536300,204789.97,8.524550E+07,236792.96,18105.00,7.596150E+06,21100.41
1737536310,238402.56,8.762952E+07,236836.46,21412.51,7.810275E+06,21108.84
1737536320,245782.44,9.008735E+07,237071.88,21757.50,8.027850E+06,21125.91
1737536330,229532.54,9.238268E+07,236878.56,20542.50,8.233275E+06,21110.95
1737536340,229167.51,9.467435E+07,236685.79,20437.50,8.437650E+06,21094.12
1737536350,230575.00,9.698010E+07,236536.74,20490.00,8.642550E+06,21079.38
1737536360,224830.00,9.922840E+07,236258.01,19965.00,8.842200E+06,21052.85
1737536370,228010.01,1.015085E+08,236066.20,20415.00,9.046350E+06,21038.02
1737536380,234094.99,1.038494E+08,236021.40,20842.50,9.254775E+06,21033.57
1737536390,235695.01,1.062064E+08,236014.14,21052.50,9.465300E+06,21033.99
1737536400,239554.99,1.086020E+08,236091.12,21217.50,9.677475E+06,21037.98
1737536410,228725.01,1.108892E+08,235934.39,20497.50,9.882450E+06,21026.48
1737536420,225502.50,1.131442E+08,235717.06,20077.50,1.008322E+07,21006.71
