time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1737539588,126024.81,1.260400E+06,126024.81,11391.13,1.139250E+05,11391.13
1737539598,270802.53,3.968425E+06,198409.30,23985.00,3.537750E+05,17687.68
1737539608,269417.47,6.662600E+06,222077.74,24135.00,5.951250E+05,19836.70
1737539618,267120.00,9.333800E+06,233337.97,23827.50,8.334000E+05,20834.37
1737539628,251139.97,1.184520E+07,236898.28,22372.50,1.057125E+06,21141.99
1737539638,262400.00,1.446920E+07,241148.48,23227.50,1.289400E+06,21489.57
1737539648,267382.58,1.714302E+07,244896.15,23857.51,1.527975E+06,21827.84
1737539658,266692.50,1.980995E+07,247620.65,23767.50,1.765650E+06,22070.29
1737539668,268465.00,2.249460E+07,249936.66,24007.50,2.005725E+06,22285.54
1737539678,264867.50,2.514328E+07,251429.72,23520.00,2.240925E+06,22408.98
1737539688,252129.91,2.766458E+07,251493.37,22544.99,2.466375E+06,22421.34
1737539698,259162.61,3.025620E+07,252132.47,23115.01,2.697525E+06,22479.15
1737539708,256464.99,3.282085E+07,252465.74,22762.50,2.925150E+06,22500.95
1737539718,257877.42,3.539962E+07,252852.28,22942.49,3.154575E+06,22532.48
1737539728,259872.58,3.799835E+07,253320.30,23235.01,3.386925E+06,22579.32
1737539738,251404.93,4.051240E+07,253200.59,22432.49,3.611250E+06,22570.14
1737539748,170099.93,4.221340E+07,248312.35,15172.49,3.762975E+06,22134.99
1737539758,169259.71,4.390600E+07,243920.56,15067.47,3.913650E+06,21742.35
1737539768,150360.14,4.540960E+07,238996.36,13275.01,4.046400E+06,21296.71
1737539778,132980.11,4.673940E+07,233695.59,11992.51,4.166325E+06,20831.50
1737539788,136880.04,4.810820E+07,229085.35,12180.00,4.288125E+06,20419.53
1737539798,209050.00,5.019870E+07,228174.66,18592.50,4.474050E+06,20336.48
1737539808,219992.50,5.239862E+07,227818.91,19672.50,4.670775E+06,20307.61
1737539818,224182.56,5.464045E+07,227667.40,19890.01,4.869675E+06,20290.21
1737539828,233907.49,5.697952E+07,227917.00,20820.00,5.077875E+06,20311.40
1737539838,218265.03,5.916218E+07,227545.77,19455.00,5.272425E+06,20278.46
1737539848,220202.49,6.136420E+07,227273.80,19710.00,5.469525E+06,20257.41
1737539858,208569.99,6.344990E+07,226605.81,18532.50,5.654850E+06,20195.81
1737539868,266549.95,6.611540E+07,227983.19,23745.00,5.892300E+06,20318.19
1737539878,274630.02,6.886170E+07,229538.08,24465.00,6.136950E+06,20456.42
1737539888,250074.97,7.136245E+07,230200.56,22260.00,6.359550E+06,20514.60
1737539898,234267.46,7.370512E+07,230327.65,20872.50,6.568275E+06,20525.78
1737539908,226292.59,7.596805E+07,230205.37,20167.51,6.769950E+06,20514.93
1737539918,265335.00,7.862140E+07,231238.59,23595.00,7.005900E+06,20605.52
1737539928,270467.49,8.132608E+07,232359.41,24262.50,7.248525E+06,20710.00
1737539938,255932.48,8.388540E+07,233014.22,22687.50,7.475400E+06,20764.93
1737539948,228259.91,8.616800E+07,232885.73,20429.99,7.679700E+06,20755.88
1737539958,219000.11,8.835800E+07,232520.32,19552.51,7.875225E+06,20724.21
1737539968,223889.94,9.059690E+07,232299.02,19852.49,8.073750E+06,20701.86
