time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1734264847,29679.83,2.968000E+05,29679.83,2789.98,2.790000E+04,2789.98
1734264857,192960.00,2.226400E+06,111319.68,17220.00,2.001000E+05,10004.97
1734264867,230989.94,4.536300E+06,151209.70,20439.99,4.045000E+05,13483.31
1734264877,292850.09,7.464800E+06,186619.74,26190.01,6.664000E+05,16659.98
1734264887,308239.91,1.054720E+07,210943.75,27519.99,9.416000E+05,18831.98
1734264897,304430.10,1.359150E+07,226524.79,27010.01,1.211700E+06,20194.98
1734264907,283129.83,1.642280E+07,234611.22,25249.98,1.464200E+06,20917.12
1734264917,309960.17,1.952240E+07,244029.83,27700.02,1.741200E+06,21764.98
1734264927,295219.88,2.247460E+07,249717.61,26179.99,2.003000E+06,22255.54
1734264937,307040.13,2.554500E+07,255449.86,27360.01,2.276600E+06,22765.99
1734264947,292060.00,2.846560E+07,258778.05,26100.00,2.537600E+06,23069.08
1734264957,268059.90,3.114620E+07,259551.54,23929.99,2.776900E+06,23140.82
1734264967,312730.10,3.427350E+07,263642.19,27760.01,3.054500E+06,23496.14
1734264977,314910.01,3.742260E+07,267304.18,28050.00,3.335000E+06,23821.42
1734264987,301099.93,4.043360E+07,269557.23,26929.99,3.604300E+06,24028.66
1734264997,304180.05,4.347540E+07,271721.15,26980.00,3.874100E+06,24213.12
1734265007,282800.00,4.630340E+07,272372.85,25200.00,4.126100E+06,24271.17
1734265017,291249.95,4.921590E+07,273421.58,25960.00,4.385700E+06,24364.99
1734265027,295290.01,5.216880E+07,274572.55,26450.00,4.650200E+06,24474.73
1734265037,306009.98,5.522890E+07,276144.42,27290.00,4.923100E+06,24615.49
1734265047,290380.04,5.813270E+07,276822.30,25850.00,5.181600E+06,24674.28
1734265057,295610.04,6.108880E+07,277676.29,26200.00,5.443600E+06,24743.63
1734265067,293760.02,6.402640E+07,278375.58,26300.00,5.706600E+06,24811.30
1734265077,298079.99,6.700720E+07,279196.60,26540.00,5.972000E+06,24883.33
1734265087,289909.87,6.990630E+07,279625.13,25769.99,6.229700E+06,24918.79
1734265097,268890.04,7.259520E+07,279212.24,24060.00,6.470300E+06,24885.76
1734265107,297680.09,7.557200E+07,279896.24,26490.01,6.735200E+06,24945.18
1734265117,279879.89,7.837080E+07,279895.65,24869.99,6.983900E+06,24942.49
1734265127,291800.12,8.128880E+07,280306.15,25970.01,7.243600E+06,24977.93
1734265137,291419.98,8.420300E+07,280676.61,25980.00,7.503400E+06,25011.33
1734265147,285060.00,8.705360E+07,280818.01,25510.00,7.758500E+06,25027.41
1734265157,297740.03,9.003100E+07,281346.83,26480.00,8.023300E+06,25072.81
1734265167,295740.00,9.298840E+07,281782.98,26350.00,8.286800E+06,25111.51
1734265177,301069.99,9.599910E+07,282350.25,26770.00,8.554500E+06,25160.29
1734265187,285969.86,9.885880E+07,282453.66,25629.99,8.810800E+06,25173.71
1734265197,297770.17,1.018365E+08,282879.12,26490.02,9.075700E+06,25210.27
1734265207,296809.96,1.048046E+08,283255.63,26340.00,9.339100E+06,25240.81
1734265217,251680.01,1.073214E+08,282424.69,22490.00,9.564000E+06,25168.42
1734265227,268709.95,1.100085E+08,282073.03,24030.00,9.804300E+06,25139.23
1734265237,302240.09,1.130309E+08,282577.21,26830.01,1.007260E+07,25181.50
1734265247,317869.94,1.162096E+08,283438.01,28339.99,1.035600E+07,25258.53
1734265257,104410.00,1.172537E+08,279175.44,9270.00,1.044870E+07,24877.85
1734265267,301500.00,1.202687E+08,279694.61,26980.00,1.071850E+07,24926.74
1734265277,304639.99,1.233151E+08,280261.55,27040.00,1.098890E+07,24974.77
1734265287,288519.99,1.262003E+08,280445.08,25720.00,1.124610E+07,24991.33
1734265297,307960.02,1.292799E+08,281043.23,27410.00,1.152020E+07,25043.91
1734265307,292530.02,1.322052E+08,281287.63,26100.00,1.178120E+07,25066.38
1734265317,293719.94,1.351424E+08,281546.63,26289.99,1.204410E+07,25091.87
1734265327,289339.95,1.380358E+08,281705.68,25730.00,1.230140E+07,25104.89
1734265337,298689.97,1.410227E+08,282045.37,26610.00,1.256750E+07,25135.00
1734265347,291890.15,1.439416E+08,282238.40,26040.01,1.282790E+07,25152.74
1734265357,297440.00,1.469160E+08,282530.74,26450.00,1.309240E+07,25177.69
1734265367,289219.98,1.498082E+08,282656.95,25690.00,1.334930E+07,25187.36
1734265377,281679.98,1.526250E+08,282638.86,25130.00,1.360060E+07,25186.29
1734265387,301800.02,1.556430E+08,282987.24,26950.00,1.387010E+07,25218.36
1734265397,298030.01,1.586233E+08,283255.86,26500.00,1.413510E+07,25241.25
1734265407,289280.00,1.615161E+08,283361.55,25760.00,1.439270E+07,25250.35
1734265417,277189.98,1.642880E+08,283255.14,24770.00,1.464040E+07,25242.07
1734265427,314729.93,1.674353E+08,283788.62,28019.99,1.492060E+07,25289.15
1734265437,292230.08,1.703576E+08,283929.31,26100.01,1.518160E+07,25302.66
1734265447,293039.83,1.732880E+08,284078.66,26139.98,1.544300E+07,25316.39
1734265457,295840.13,1.762464E+08,284268.36,26300.01,1.570600E+07,25332.26
1734265467,275139.87,1.789978E+08,284123.46,24539.99,1.595140E+07,25319.68
1734265477,140379.91,1.804016E+08,281877.47,12539.99,1.607680E+07,25120.00
