time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1737800189,90053.51,9.006500E+05,90053.51,8053.97,8.055000E+04,8053.97
1737800199,262814.94,3.528800E+06,176428.72,23534.99,3.159000E+05,15793.99
1737800209,264600.06,6.174800E+06,205817.91,23565.01,5.515500E+05,18384.22
1737800219,258122.41,8.756025E+06,218893.62,22987.49,7.814250E+05,19535.00
1737800229,245192.52,1.120795E+07,224153.27,21862.50,1.000050E+06,20000.49
1737800239,246780.01,1.367575E+07,227924.31,21937.50,1.219425E+06,20323.32
1737800249,274945.06,1.642520E+07,234641.44,24517.51,1.464600E+06,20922.48
1737800259,265807.48,1.908328E+07,238537.13,23632.50,1.700925E+06,21261.22
1737800269,262552.51,2.170880E+07,241205.47,23497.50,1.935900E+06,21509.69
1737800279,269804.93,2.440685E+07,244065.38,23902.49,2.174925E+06,21748.97
1737800289,267772.57,2.708458E+07,246220.55,23910.01,2.414025E+06,21945.43
1737800299,253422.51,2.961880E+07,246820.71,22695.00,2.640975E+06,22007.89
1737800309,224799.99,3.186680E+07,245126.82,19987.50,2.840850E+06,21852.48
1737800319,182829.86,3.369510E+07,240677.08,16169.99,3.002550E+06,21446.59
1737800329,167437.50,3.536948E+07,235794.48,15037.50,3.152925E+06,21019.32
1737800339,147067.57,3.684015E+07,230249.10,13012.51,3.283050E+06,20518.90
1737800349,132024.93,3.816040E+07,224471.24,11834.99,3.401400E+06,20008.08
1737800359,192457.67,4.008498E+07,222692.73,17062.52,3.572025E+06,19844.44
1737800369,228762.48,4.237260E+07,223012.19,20505.00,3.777075E+06,19879.21
1737800379,234259.93,4.471520E+07,223574.57,20872.49,3.985800E+06,19928.87
1737800389,225990.07,4.697510E+07,223689.59,20130.01,4.187100E+06,19938.45
1737800399,224814.92,4.922325E+07,223740.74,19964.99,4.386750E+06,19939.66
1737800409,219112.52,5.141438E+07,223539.52,19582.50,4.582575E+06,19924.13
1737800419,222985.04,5.364422E+07,223516.41,19800.00,4.780575E+06,19918.96
1737800429,201302.51,5.565725E+07,222627.86,17977.50,4.960350E+06,19841.30
1737800439,232475.00,5.798200E+07,223006.60,20797.50,5.168325E+06,19878.08
1737800449,259707.50,6.057908E+07,224365.88,23100.00,5.399325E+06,19997.41
1737800459,231024.99,6.288932E+07,224603.71,20580.00,5.605125E+06,20018.21
1737800469,239857.50,6.528790E+07,225129.70,21262.50,5.817750E+06,20061.12
1737800479,236449.97,6.765240E+07,225507.04,21165.00,6.029400E+06,20097.91
1737800489,256429.93,7.021670E+07,226504.55,22754.99,6.256950E+06,20183.63
1737800499,270670.09,7.292340E+07,227884.72,24285.01,6.499800E+06,20311.79
1737800509,240319.99,7.532660E+07,228261.54,21330.00,6.713100E+06,20342.65
1737800519,232294.99,7.764955E+07,228380.17,20617.50,6.919275E+06,20350.73
1737800529,230524.96,7.995480E+07,228441.45,20715.00,7.126425E+06,20361.14
1737800539,231722.50,8.227202E+07,228532.59,20535.00,7.331775E+06,20365.97
