time,per. metric/s,metric total,overall metric/s,per. row/s,row total,overall row/s
1737909046,107406.65,1.074100E+06,107406.65,9674.70,9.675000E+04,9674.70
1737909056,253190.07,3.606000E+06,180297.21,22612.51,3.228750E+05,16143.50
1737909066,257397.53,6.179975E+06,205997.05,22935.00,5.522250E+05,18407.31
1737909076,257334.92,8.753325E+06,218831.42,22889.99,7.811250E+05,19527.97
1737909086,257262.54,1.132595E+07,226517.60,22852.50,1.009650E+06,20192.87
1737909096,254165.03,1.386760E+07,231125.48,22762.50,1.237275E+06,20621.14
1737909106,271139.98,1.657900E+07,236841.81,24052.50,1.477800E+06,21111.34
1737909116,268599.92,1.926500E+07,240811.56,24022.49,1.718025E+06,21475.23
1737909126,274600.09,2.201100E+07,244565.83,24465.01,1.962675E+06,21807.43
1737909136,271454.92,2.472555E+07,247254.73,24059.99,2.203275E+06,22032.68
1737909146,259932.58,2.732488E+07,248407.26,23205.01,2.435325E+06,22139.26
1737909156,242189.99,2.974678E+07,247889.15,21570.00,2.651025E+06,22091.82
1737909166,240232.50,3.214910E+07,247300.18,21427.50,2.865300E+06,22040.72
1737909176,194617.50,3.409528E+07,243537.14,17302.50,3.038325E+06,21702.27
1737909186,237109.97,3.646638E+07,243108.66,21225.00,3.250575E+06,21670.46
1737909196,249737.38,3.896375E+07,243522.96,22207.49,3.472650E+06,21704.02
1737909206,284445.17,4.180820E+07,245930.14,25417.51,3.726825E+06,21922.46
1737909216,293872.49,4.474692E+07,248593.60,26145.00,3.988275E+06,22157.05
1737909226,285927.53,4.760620E+07,250558.54,25432.50,4.242600E+06,22329.44
1737909236,275710.00,5.036330E+07,251816.11,24630.00,4.488900E+06,22444.47
1737909246,241920.00,5.278250E+07,251344.87,21525.00,4.704150E+06,22400.68
1737909256,250390.01,5.528640E+07,251301.47,22305.00,4.927200E+06,22396.33
1737909266,248709.88,5.777350E+07,251188.79,22094.99,5.148150E+06,22383.23
1737909276,243645.11,6.020995E+07,250874.47,21750.01,5.365650E+06,22356.85
1737909286,244704.96,6.265700E+07,250627.69,21907.50,5.584725E+06,22338.87
1737909296,255535.03,6.521235E+07,250816.43,22635.00,5.811075E+06,22350.26
1737909306,252767.51,6.774002E+07,250888.69,22635.00,6.037425E+06,22360.81
1737909316,250074.99,7.024078E+07,250859.63,22275.00,6.260175E+06,22357.74
1737909326,248072.49,7.272150E+07,250763.53,21997.50,6.480150E+06,22345.32
1737909336,255650.00,7.527800E+07,250926.41,22927.50,6.709425E+06,22364.73
1737909346,275619.91,7.803420E+07,251722.97,24517.49,6.954600E+06,22434.17
1737909356,264600.05,8.068020E+07,252125.38,23640.00,7.191000E+06,22471.85
1737909366,271725.06,8.339745E+07,252719.31,24075.00,7.431750E+06,22520.43
1737909376,266272.48,8.606018E+07,253117.93,23707.50,7.668825E+06,22555.35
1737909386,277242.43,8.883260E+07,253807.20,24824.99,7.917075E+06,22620.19
1737909396,251005.09,9.134265E+07,253729.37,22387.51,8.140950E+06,22613.73
1737909406,240035.01,9.374300E+07,253359.25,21285.00,8.353800E+06,22577.82
1737909416,243862.49,9.618162E+07,253109.33,21802.50,8.571825E+06,22557.42
1737909426,242957.51,9.861120E+07,252849.03,21667.50,8.788500E+06,22534.60
1737909436,242579.98,1.010370E+08,252592.30,21622.50,9.004725E+06,22511.80
1737909446,250697.49,1.035440E+08,252546.09,22350.00,9.228225E+06,22507.85
1737909456,227514.89,1.058191E+08,251950.11,20264.99,9.430875E+06,22454.45
1737909466,271492.63,1.085340E+08,252404.59,24120.01,9.672075E+06,22493.18
1737909476,269994.93,1.112340E+08,252804.37,24134.99,9.913425E+06,22530.50
1737909486,270690.09,1.139409E+08,253201.83,24007.51,1.015350E+07,22563.32
1737909496,244194.99,1.163828E+08,253006.03,21847.50,1.037198E+07,22547.76
1737909506,178645.00,1.181693E+08,251423.88,15952.50,1.053150E+07,22407.43
1737909516,247537.43,1.206447E+08,251342.91,21922.49,1.075072E+07,22397.33
1737909526,230652.56,1.229512E+08,250920.66,20677.51,1.095750E+07,22362.23
1737909536,235099.98,1.253022E+08,250604.24,20910.00,1.116660E+07,22333.19
1737909546,245340.02,1.277556E+08,250501.02,21780.00,1.138440E+07,22322.34
1737909556,236700.02,1.301226E+08,250235.62,21202.50,1.159642E+07,22300.80
1737909566,250989.93,1.326325E+08,250249.85,22387.49,1.182030E+07,22302.44
1737909576,249472.54,1.351272E+08,250235.46,22192.50,1.204222E+07,22300.40
1737909586,240622.53,1.375334E+08,250060.68,21352.50,1.225575E+07,22283.17
1737909596,194392.49,1.394774E+08,249066.60,17347.50,1.242922E+07,22195.03
1737909606,154097.45,1.410184E+08,247400.48,13770.00,1.256692E+07,22047.22
1737909616,164084.90,1.426592E+08,245964.00,14692.49,1.271385E+07,21920.42
1737909626,154555.01,1.442048E+08,244414.70,13740.00,1.285125E+07,21781.77
1737909636,140817.61,1.456129E+08,242688.08,12442.51,1.297568E+07,21626.11
1737909646,132012.43,1.469330E+08,240873.73,11887.49,1.309455E+07,21466.46
1737909656,240545.15,1.493385E+08,240868.43,21360.01,1.330815E+07,21464.75
1737909666,251499.96,1.518535E+08,241037.18,22455.00,1.353270E+07,21480.47
1737909676,240765.03,1.542612E+08,241032.93,21375.00,1.374645E+07,21478.82
1737909686,244284.91,1.567040E+08,241082.96,21854.99,1.396500E+07,21484.61
1737909696,241355.10,1.591176E+08,241087.08,21472.51,1.417972E+07,21484.42
1737909706,248319.90,1.616008E+08,241195.04,22034.99,1.440008E+07,21492.64
1737909716,245085.00,1.640516E+08,241252.24,21952.50,1.461960E+07,21499.40
1737909726,250615.08,1.665578E+08,241387.94,22335.01,1.484295E+07,21511.51
1737909736,240795.02,1.689657E+08,241379.47,21375.00,1.505670E+07,21509.56
1737909746,251245.00,1.714782E+08,241518.42,22432.50,1.528102E+07,21522.56
1737909756,252289.99,1.740010E+08,241668.02,22552.50,1.550655E+07,21536.87
1737909766,242505.01,1.764261E+08,241679.49,21615.00,1.572270E+07,21537.94
1737909776,248324.94,1.789094E+08,241769.29,22034.99,1.594305E+07,21544.65
1737909786,241875.06,1.813281E+08,241770.70,21525.01,1.615830E+07,21544.39
1737909796,229430.00,1.836224E+08,241608.32,20580.00,1.636410E+07,21531.70
1737909806,239262.42,1.860150E+08,241577.86,21187.49,1.657598E+07,21527.23
1737909816,220682.49,1.882218E+08,241309.97,19777.50,1.677375E+07,21504.80
1737909826,256975.11,1.907916E+08,241508.26,22845.01,1.700220E+07,21521.76
1737909836,258095.00,1.933726E+08,241715.59,22965.00,1.723185E+07,21539.80
1737909846,250374.99,1.958763E+08,241822.50,22305.00,1.745490E+07,21549.25
1737909856,252350.01,1.983998E+08,241950.88,22567.50,1.768058E+07,21561.67
1737909866,233959.99,2.007394E+08,241854.61,20835.00,1.788892E+07,21552.91
1737909876,235227.50,2.030917E+08,241775.71,21000.00,1.809892E+07,21546.33
1737909886,239142.50,2.054831E+08,241744.74,21157.50,1.831050E+07,21541.76
1737909896,227739.95,2.077605E+08,241581.89,20385.00,1.851435E+07,21528.31
1737909906,224687.55,2.100074E+08,241387.70,19927.50,1.871362E+07,21509.91
1737909916,238102.50,2.123884E+08,241350.37,21375.00,1.892738E+07,21508.37
1737909926,237334.97,2.147618E+08,241305.25,21007.50,1.913745E+07,21502.75
1737909936,238650.04,2.171482E+08,241275.75,21390.00,1.935135E+07,21501.49
1737909946,235294.99,2.195012E+08,241210.03,20977.50,1.956112E+07,21495.73
1737909956,234080.00,2.218420E+08,241132.53,20865.00,1.976978E+07,21488.88
1737909966,243787.51,2.242799E+08,241161.08,21675.00,1.998652E+07,21490.88
1737909976,231552.44,2.265954E+08,241058.86,20639.99,2.019292E+07,21481.83
1737909986,226885.05,2.288642E+08,240909.66,20242.50,2.039535E+07,21468.78
1737909996,232645.02,2.311907E+08,240823.57,20670.00,2.060205E+07,21460.46
1737910006,177099.96,2.329617E+08,240166.62,15765.00,2.075970E+07,21401.75
1737910016,244682.48,2.354085E+08,240212.70,21877.50,2.097848E+07,21406.60
1737910026,242715.06,2.378357E+08,240237.98,21645.01,2.119492E+07,21409.01
1737910036,241167.52,2.402474E+08,240247.28,21442.50,2.140935E+07,21409.34
1737910046,243024.91,2.426776E+08,240274.78,21674.99,2.162610E+07,21411.97
1737910056,246495.01,2.451426E+08,240335.76,21855.00,2.184465E+07,21416.32
1737910066,237477.57,2.475173E+08,240308.01,21247.51,2.205712E+07,21414.68
1737910076,251307.48,2.500304E+08,240413.77,22417.50,2.228130E+07,21424.32
1737910086,239630.00,2.524267E+08,240406.31,21225.00,2.249355E+07,21422.42
1737910096,243097.51,2.548577E+08,240431.70,21697.50,2.271052E+07,21425.02
1737910106,235429.98,2.572120E+08,240384.95,21045.00,2.292098E+07,21421.47
